Unnamed: 0,ARI,CHI,week,year,game_id
First Downs,16,22,16.0,2023,235
Rush-Yds-TDs,20-93-0,39-250-2,16.0,2023,235
Cmp-Att-Yd-TD-INT,24-38-230-2-0,15-27-170-1-1,16.0,2023,235
Sacked-Yards,2-17,1-0,16.0,2023,235
Net Pass Yards,213,170,16.0,2023,235
Total Yards,306,420,16.0,2023,235
Fumbles-Lost,1-0,0-0,16.0,2023,235
Turnovers,0,1,16.0,2023,235
Penalties-Yards,2-8,5-35,16.0,2023,235
Third Down Conv.,7-16,8-15,16.0,2023,235
Fourth Down Conv.,0-1,0-0,16.0,2023,235
Time of Possession,25:28,34:32,16.0,2023,235
