Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,,16.0,2023,231
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short right to Josh Reynolds for 16 yards (tackle by Camryn Bynum),0.61,1.66,16.0,2023,231
1.0,14:27,1.0,10.0,DET 41,0.0,0.0,David Montgomery up the middle for 1 yard (tackle by Danielle Hunter),1.66,1.26,16.0,2023,231
1.0,13:51,2.0,9.0,DET 42,0.0,0.0,David Montgomery right end for 10 yards (tackle by Mekhi Blackmon and Camryn Bynum),1.26,2.39,16.0,2023,231
1.0,13:38,1.0,10.0,MIN 48,0.0,0.0,Jared Goff pass complete short left to Jahmyr Gibbs for 8 yards (tackle by Josh Metellus),2.39,2.93,16.0,2023,231
1.0,12:44,2.0,2.0,MIN 40,0.0,0.0,David Montgomery left guard for -3 yards (tackle by Patrick Jones),2.93,1.82,16.0,2023,231
1.0,12:01,3.0,5.0,MIN 43,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Josh Metellus),1.82,3.64,16.0,2023,231
1.0,11:32,1.0,10.0,MIN 29,0.0,0.0,"Jared Goff pass complete short left to Sam LaPorta for no gain. Penalty on Kalif Raymond: Offensive Offside, 5 yards (accepted) (no play)",3.64,3.31,16.0,2023,231
1.0,11:03,1.0,15.0,MIN 34,0.0,0.0,David Montgomery left tackle for 3 yards (tackle by Harrison Phillips),3.31,2.83,16.0,2023,231
1.0,10:22,2.0,12.0,MIN 31,0.0,0.0,Jared Goff pass complete short right to Kalif Raymond for 11 yards (tackle by Mekhi Blackmon),2.83,3.6,16.0,2023,231
1.0,9:43,3.0,1.0,MIN 20,0.0,0.0,David Montgomery right tackle for 4 yards (tackle by Jordan Hicks),3.6,4.51,16.0,2023,231
1.0,9:12,1.0,10.0,MIN 16,0.0,0.0,Jared Goff pass incomplete deep left,4.51,3.9,16.0,2023,231
1.0,9:05,2.0,10.0,MIN 16,0.0,0.0,"Jared Goff pass complete short left to Jameson Williams for 12 yards. Jameson Williams fumbles, ball out of bounds at MIN-4 (forced by Camryn Bynum). Jameson Williams fumbles out of bounds",3.9,6.28,16.0,2023,231
1.0,8:30,1.0,4.0,MIN 4,0.0,0.0,David Montgomery right guard for 2 yards (tackle by Danielle Hunter),6.28,5.72,16.0,2023,231
1.0,7:53,2.0,2.0,MIN 2,0.0,0.0,David Montgomery left tackle for 1 yard (tackle by Danielle Hunter and Harrison Phillips),5.72,5.17,16.0,2023,231
1.0,7:17,3.0,1.0,MIN 1,6.0,0.0,"David Montgomery right guard for 1 yard, touchdown",5.17,7.0,16.0,2023,231
1.0,7:13,,,MIN 15,7.0,0.0,Michael Badgley kicks extra point good,0.0,0.0,16.0,2023,231
1.0,7:13,,,DET 35,7.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
1.0,7:13,1.0,10.0,MIN 25,7.0,0.0,Nick Mullens pass complete short right to Josh Oliver for 33 yards (tackle by Kerby Joseph),0.61,2.79,16.0,2023,231
1.0,6:40,1.0,10.0,DET 42,7.0,0.0,Nick Mullens pass complete short left to K.J. Osborn for 14 yards (tackle by Kerby Joseph and Alex Anzalone),2.79,3.71,16.0,2023,231
1.0,5:57,1.0,10.0,DET 28,7.0,0.0,Nick Mullens pass complete short right to Justin Jefferson for 8 yards (tackle by Brian Branch and Cameron Sutton),3.71,4.25,16.0,2023,231
1.0,5:21,2.0,2.0,DET 20,7.0,0.0,Ty Chandler up the middle for no gain (tackle by Malcolm Rodriguez),4.25,3.53,16.0,2023,231
1.0,4:36,3.0,2.0,DET 20,7.0,0.0,Nick Mullens pass complete short middle to K.J. Osborn for 14 yards (tackle by Kerby Joseph),3.53,5.83,16.0,2023,231
1.0,3:55,1.0,6.0,DET 6,7.0,0.0,Nick Mullens pass incomplete short right intended for Jordan Addison,5.83,4.95,16.0,2023,231
1.0,3:49,2.0,6.0,DET 6,7.0,0.0,Ty Chandler up the middle for 2 yards (tackle by Ifeatu Melifonwu),4.95,4.49,16.0,2023,231
1.0,3:09,3.0,4.0,DET 4,7.0,0.0,"Nick Mullens pass incomplete short right. Penalty on Brian Branch: Defensive Holding, 2 yards (accepted) (no play)",4.49,6.74,16.0,2023,231
1.0,3:01,1.0,2.0,DET 2,7.0,0.0,Nick Mullens pass incomplete short right intended for Josh Oliver,6.74,5.72,16.0,2023,231
1.0,2:53,2.0,2.0,DET 2,7.0,6.0,"Ty Chandler right guard for 2 yards, touchdown",5.72,7.0,16.0,2023,231
1.0,2:51,,,DET 15,7.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2023,231
1.0,2:51,,,MIN 35,7.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
1.0,2:51,1.0,10.0,DET 25,7.0,7.0,Jared Goff pass incomplete deep left intended for Josh Reynolds,0.61,0.06,16.0,2023,231
1.0,2:46,2.0,10.0,DET 25,7.0,7.0,Jared Goff pass complete short middle to Jameson Williams for 11 yards (tackle by Jordan Hicks and Josh Metellus),0.06,1.33,16.0,2023,231
1.0,2:13,1.0,10.0,DET 36,7.0,7.0,"Jahmyr Gibbs left end for 13 yards. Jahmyr Gibbs fumbles (forced by Camryn Bynum), recovered by Ivan Pace at MIN-46 and returned for 6 yards (tackle by Amon-Ra St. Brown and Sam LaPorta)",1.33,-2.39,16.0,2023,231
1.0,2:02,1.0,10.0,DET 48,7.0,7.0,Ty Chandler left end for 6 yards (tackle by Jack Campbell and Kerby Joseph),2.39,2.66,16.0,2023,231
1.0,1:26,2.0,4.0,DET 42,7.0,7.0,Nick Mullens sacked by Ifeatu Melifonwu for -11 yards,2.66,0.5,16.0,2023,231
1.0,1:05,3.0,15.0,MIN 47,7.0,7.0,Nick Mullens pass complete short right to T.J. Hockenson for 13 yards (tackle by Brian Branch),0.5,0.59,16.0,2023,231
