Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Patriots to receive the opening kickoff.",,,16.0,2023,237
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,"Bailey Zappe sacked by D.J. Jones for -16 yards. Bailey Zappe fumbles (forced by D.J. Jones), recovered by D.J. Jones at NE-9 and returned for 3 yards (tackle by Pharaoh Brown)",0.61,0.0,16.0,2023,237
1.0,14:53,1.0,10.0,NWE 6,0.0,0.0,Javonte Williams right tackle for 2 yards (tackle by Deatrich Wise and Christian Barmore),0.0,5.34,16.0,2023,237
1.0,14:11,2.0,4.0,NWE 4,0.0,0.0,Javonte Williams up the middle for 2 yards (tackle by Keion White and Christian Barmore),5.34,4.95,16.0,2023,237
1.0,13:22,3.0,2.0,NWE 2,0.0,0.0,"Russell Wilson pass intended for Adam Trautman is intercepted by Mack Wilson in end zone and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Russell Wilson pass incomplete short right intended for Adam Trautman",4.95,3.25,16.0,2023,237
1.0,13:20,4.0,2.0,NWE 2,0.0,0.0,Javonte Williams right guard for 1 yard (tackle by Anfernee Jennings),3.25,0.38,16.0,2023,237
1.0,13:18,1.0,10.0,NWE 2,0.0,0.0,Ezekiel Elliott up the middle for 3 yards (tackle by Zach Allen and D.J. Jones),-0.38,-0.56,16.0,2023,237
1.0,12:38,2.0,7.0,NWE 5,0.0,0.0,Ezekiel Elliott up the middle for no gain (tackle by Alex Singleton),-0.56,-1.07,16.0,2023,237
1.0,12:01,3.0,7.0,NWE 5,0.0,0.0,Bailey Zappe pass incomplete short right intended for Demario Douglas,-1.07,-2.49,16.0,2023,237
1.0,11:56,4.0,7.0,NWE 5,0.0,0.0,"Bryce Baringer punts 47 yards, returned by Marvin Mims for 6 yards (tackle by Mack Wilson)",-2.49,-2.52,16.0,2023,237
1.0,11:47,1.0,10.0,NWE 46,0.0,0.0,Jaleel McLaughlin right end for 5 yards (tackle by Jahlani Tavai),2.52,2.65,16.0,2023,237
1.0,11:08,2.0,5.0,NWE 41,0.0,0.0,Javonte Williams right end for -1 yards (tackle by Davon Godchaux),2.65,1.82,16.0,2023,237
1.0,10:31,3.0,6.0,NWE 42,0.0,0.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Myles Bryant),1.82,0.46,16.0,2023,237
1.0,10:24,4.0,6.0,NWE 42,0.0,0.0,"Riley Dixon punts 32 yards, returned by Myles Bryant for 5 yards (tackle by Ben Niemann and Riley Moss)",0.46,0.22,16.0,2023,237
1.0,10:15,1.0,10.0,NWE 15,0.0,0.0,Kevin Harris up the middle for 6 yards (tackle by Matt Henningsen and Alex Singleton),-0.22,0.21,16.0,2023,237
1.0,9:39,2.0,4.0,NWE 21,0.0,0.0,Kevin Harris left guard for 3 yards (tackle by P.J. Locke and Baron Browning),0.21,-0.27,16.0,2023,237
1.0,9:01,3.0,1.0,NWE 24,0.0,0.0,Kevin Harris up the middle for no gain (tackle by Mike Purcell and Matt Henningsen),-0.27,-1.77,16.0,2023,237
