Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Gardner Minshew II,IND,0,0,0,0,0,16.0,2023,228
Jonathan Taylor,IND,1,0,0,0,0,16.0,2023,228
Tyler Goodson,IND,2,1,15,0,15,16.0,2023,228
Trey Sermon,IND,0,0,0,0,0,16.0,2023,228
Kylen Granson,IND,7,5,62,0,16,16.0,2023,228
Will Mallory,IND,4,4,47,0,18,16.0,2023,228
Josh Downs,IND,9,6,39,0,14,16.0,2023,228
Alec Pierce,IND,7,3,30,0,16,16.0,2023,228
D.J. Montgomery,IND,4,1,8,0,8,16.0,2023,228
Mo Alie-Cox,IND,1,0,0,0,0,16.0,2023,228
Taylor Heinicke,ATL,0,0,0,0,0,16.0,2023,228
Bijan Robinson,ATL,10,7,50,0,14,16.0,2023,228
Tyler Allgeier,ATL,1,1,19,0,19,16.0,2023,228
Cordarrelle Patterson,ATL,2,2,7,0,11,16.0,2023,228
Kyle Pitts,ATL,4,3,49,1,24,16.0,2023,228
Drake London,ATL,4,3,39,0,19,16.0,2023,228
Jonnu Smith,ATL,6,4,32,0,15,16.0,2023,228
Scott Miller,ATL,1,1,15,0,15,16.0,2023,228
Van Jefferson,ATL,3,1,13,0,13,16.0,2023,228
KhaDarel Hodge,ATL,1,1,5,0,5,16.0,2023,228
