Unnamed: 0,IND,ATL,week,year,game_id
First Downs,20,23,16.0,2023,228
Rush-Yds-TDs,25-92-1,30-177-1,16.0,2023,228
Cmp-Att-Yd-TD-INT,20-37-201-0-1,23-33-229-1-0,16.0,2023,228
Sacked-Yards,6-31,1-0,16.0,2023,228
Net Pass Yards,170,229,16.0,2023,228
Total Yards,262,406,16.0,2023,228
Fumbles-Lost,1-0,1-0,16.0,2023,228
Turnovers,1,0,16.0,2023,228
Penalties-Yards,4-29,4-35,16.0,2023,228
Third Down Conv.,5-14,5-13,16.0,2023,228
Fourth Down Conv.,1-3,1-1,16.0,2023,228
Time of Possession,30:36,29:24,16.0,2023,228
