Unnamed: 0,DET,MIN,week,year,game_id
First Downs,28,19,16.0,2023,231
Rush-Yds-TDs,36-143-3,11-17-1,16.0,2023,231
Cmp-Att-Yd-TD-INT,30-40-257-1-0,22-36-411-2-4,16.0,2023,231
Sacked-Yards,1-11,4-38,16.0,2023,231
Net Pass Yards,246,373,16.0,2023,231
Total Yards,389,390,16.0,2023,231
Fumbles-Lost,2-1,2-0,16.0,2023,231
Turnovers,1,4,16.0,2023,231
Penalties-Yards,9-52,8-64,16.0,2023,231
Third Down Conv.,6-12,3-9,16.0,2023,231
Fourth Down Conv.,2-2,0-1,16.0,2023,231
Time of Possession,38:22,21:38,16.0,2023,231
