Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,16.0,2023,236
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,236
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 9 yards (tackle by Brandon Jones),0.61,1.28,16.0,2023,236
1.0,14:29,2.0,1.0,DAL 34,0.0,0.0,Tony Pollard left tackle for 6 yards (tackle by Duke Riley and Andrew Van Ginkel),1.28,1.6,16.0,2023,236
1.0,13:57,1.0,10.0,DAL 40,0.0,0.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.6,1.05,16.0,2023,236
1.0,13:52,2.0,10.0,DAL 40,0.0,0.0,CeeDee Lamb left guard for 9 yards (tackle by Bradley Chubb and Christian Wilkins),1.05,1.55,16.0,2023,236
1.0,13:19,3.0,1.0,DAL 49,0.0,0.0,Hunter Luepke up the middle for 1 yard (tackle by Christian Wilkins),1.55,2.26,16.0,2023,236
1.0,12:47,1.0,10.0,MIA 50,0.0,0.0,"Penalty on Peyton Hendershot: False Start, 5 yards (accepted) (no play)",2.26,1.93,16.0,2023,236
1.0,12:35,1.0,15.0,DAL 45,0.0,0.0,Dak Prescott pass complete short middle to CeeDee Lamb for 13 yards (tackle by Duke Riley and Xavien Howard),1.93,2.79,16.0,2023,236
1.0,12:03,2.0,2.0,MIA 42,0.0,0.0,Tony Pollard right tackle for 1 yard (tackle by Andrew Van Ginkel and Zach Sieler),2.79,2.21,16.0,2023,236
1.0,11:24,3.0,1.0,MIA 41,0.0,0.0,Hunter Luepke right guard for 2 yards (tackle by Andrew Van Ginkel),2.21,2.98,16.0,2023,236
1.0,10:55,1.0,10.0,MIA 39,0.0,0.0,Dak Prescott pass incomplete short left intended for Rico Dowdle,2.98,2.44,16.0,2023,236
1.0,10:44,2.0,10.0,MIA 39,0.0,0.0,Dak Prescott pass complete short right to Hunter Luepke for 8 yards (tackle by Brandon Jones),2.44,2.81,16.0,2023,236
1.0,10:10,3.0,2.0,MIA 31,0.0,0.0,Dak Prescott sacked by Bradley Chubb for no gain,2.81,1.4,16.0,2023,236
1.0,9:22,,,,,,Timeout #1 by Dallas Cowboys,,,16.0,2023,236
1.0,9:22,4.0,2.0,MIA 31,0.0,0.0,Dak Prescott pass complete short right to Jake Ferguson for 20 yards (tackle by Brandon Jones),1.4,4.84,16.0,2023,236
1.0,8:44,1.0,10.0,MIA 11,0.0,0.0,Brandin Cooks left end for 9 yards (tackle by Jalen Ramsey),4.84,5.85,16.0,2023,236
1.0,8:06,2.0,1.0,MIA 2,0.0,0.0,Tony Pollard left end for 1 yard (tackle by DeShon Elliott),5.85,6.97,16.0,2023,236
1.0,7:21,1.0,1.0,MIA 1,0.0,0.0,"Dak Prescott aborted snap, recovered by Brandon Jones at MIA-2",6.97,0.38,16.0,2023,236
1.0,7:17,1.0,10.0,MIA 2,0.0,0.0,Raheem Mostert up the middle for 6 yards (tackle by Mazi Smith),-0.38,-0.34,16.0,2023,236
1.0,6:38,2.0,4.0,MIA 8,0.0,0.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,-0.34,-0.72,16.0,2023,236
1.0,6:32,3.0,4.0,MIA 8,0.0,0.0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",-0.72,-1.3,16.0,2023,236
1.0,6:32,3.0,9.0,MIA 3,0.0,0.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 50 yards,-1.3,2.46,16.0,2023,236
1.0,5:47,1.0,10.0,DAL 47,0.0,0.0,Raheem Mostert left end for 2 yards (tackle by Micah Parsons and Damone Clark),2.46,2.18,16.0,2023,236
1.0,5:07,2.0,8.0,DAL 45,0.0,0.0,Raheem Mostert left end for 5 yards (tackle by Donovan Wilson and Malik Hooker),2.18,2.15,16.0,2023,236
1.0,4:24,3.0,3.0,DAL 40,0.0,0.0,Tua Tagovailoa pass complete short left to Jeff Wilson for 4 yards (tackle by Markquese Bell),2.15,3.18,16.0,2023,236
1.0,3:46,1.0,10.0,DAL 36,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,3.18,2.64,16.0,2023,236
1.0,3:42,2.0,10.0,DAL 36,0.0,0.0,Raheem Mostert right end for -3 yards (tackle by Jourdan Lewis),2.64,1.55,16.0,2023,236
1.0,3:01,3.0,13.0,DAL 39,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,1.55,0.66,16.0,2023,236
1.0,2:55,4.0,13.0,DAL 39,0.0,3.0,Jason Sanders 57 yard field goal good,0.66,3.0,16.0,2023,236
1.0,2:50,,,MIA 35,0.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,236
1.0,2:50,1.0,10.0,DAL 25,0.0,3.0,Dak Prescott pass complete deep right to CeeDee Lamb for 22 yards (tackle by Kader Kohou),0.61,2.06,16.0,2023,236
1.0,2:14,1.0,10.0,DAL 47,0.0,3.0,Tony Pollard up the middle for 4 yards (tackle by Brandon Jones),2.06,2.06,16.0,2023,236
1.0,1:41,2.0,6.0,MIA 49,6.0,3.0,"Dak Prescott pass complete short middle to CeeDee Lamb for 49 yards, touchdown",2.06,7.0,16.0,2023,236
1.0,1:30,,,MIA 15,7.0,3.0,Brandon Aubrey kicks extra point good,0.0,0.0,16.0,2023,236
1.0,1:30,,,DAL 35,7.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,236
1.0,1:30,1.0,10.0,MIA 25,7.0,3.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,0.61,0.06,16.0,2023,236
1.0,1:27,2.0,10.0,MIA 25,7.0,3.0,Tua Tagovailoa pass complete short left to Cedrick Wilson for 18 yards (tackle by Donovan Wilson),0.06,1.8,16.0,2023,236
1.0,0:43,1.0,10.0,MIA 43,7.0,3.0,Tua Tagovailoa pass complete deep right to Robbie Chosen for 19 yards (tackle by Damone Clark),1.8,3.05,16.0,2023,236
1.0,0:17,1.0,10.0,DAL 38,7.0,3.0,Raheem Mostert right guard for 2 yards (tackle by Chauncey Golston),3.05,2.78,16.0,2023,236
2.0,15:00,2.0,8.0,DAL 36,7.0,3.0,Tua Tagovailoa pass complete short left to De'Von Achane for 7 yards (tackle by Micah Parsons and Neville Gallimore),2.78,3.01,16.0,2023,236
2.0,14:22,3.0,1.0,DAL 29,7.0,3.0,Raheem Mostert up the middle for 15 yards (tackle by DaRon Bland),3.01,4.65,16.0,2023,236
2.0,13:39,1.0,10.0,DAL 14,7.0,3.0,Tua Tagovailoa pass complete short right to Alec Ingold for 5 yards (tackle by Donovan Wilson),4.65,4.9,16.0,2023,236
2.0,12:59,2.0,5.0,DAL 9,7.0,3.0,Raheem Mostert left guard for 6 yards (tackle by Stephon Gilmore),4.9,6.51,16.0,2023,236
2.0,12:18,1.0,3.0,DAL 3,7.0,3.0,Raheem Mostert left guard for no gain (tackle by Jourdan Lewis),6.51,5.53,16.0,2023,236
2.0,11:34,2.0,3.0,DAL 3,7.0,3.0,Raheem Mostert left end for -2 yards (tackle by Malik Hooker),5.53,4.26,16.0,2023,236
2.0,11:12,3.0,5.0,DAL 5,7.0,3.0,Tua Tagovailoa pass incomplete short left,4.26,3.01,16.0,2023,236
2.0,11:06,4.0,5.0,DAL 5,7.0,3.0,Tua Tagovailoa pass incomplete short left intended for Cedrick Wilson,3.01,0.38,16.0,2023,236
2.0,11:02,1.0,10.0,DAL 6,7.0,3.0,Rico Dowdle right tackle for no gain (tackle by Andrew Van Ginkel and David Long),-0.38,-0.78,16.0,2023,236
