Quarter,Time,Tm,Detail,NWE,DEN,week,year,game_id
1.0,5:15,Broncos,Javonte Williams 3 yard rush (Wil Lutz kick),0,7,16.0,2023,237
2.0,13:30,Patriots,Chad Ryland 33 yard field goal,3,7,16.0,2023,237
3.0,9:48,Patriots,Ezekiel Elliott 15 yard pass from Bailey Zappe (Chad Ryland kick failed),9,7,16.0,2023,237
,1:34,Patriots,Mike Gesicki 11 yard pass from Bailey Zappe (Chad Ryland kick),16,7,16.0,2023,237
,1:28,Patriots,Cody Davis 1 yard fumble return (Chad Ryland kick),23,7,16.0,2023,237
4.0,8:33,Broncos,Lucas Krull 3 yard pass from Russell Wilson (Brandon Johnson pass from Russell Wilson),23,15,16.0,2023,237
,2:53,Broncos,Brandon Johnson 21 yard pass from Russell Wilson (Javonte Williams pass from Russell Wilson),23,23,16.0,2023,237
,0:02,Patriots,Chad Ryland 56 yard field goal,26,23,16.0,2023,237
