Unnamed: 0,LVR,KAN,week,year,game_id
First Downs,12,19,16.0,2023,238
Rush-Yds-TDs,29-157-0,25-85-1,16.0,2023,238
Cmp-Att-Yd-TD-INT,9-21-62-0-0,28-45-246-1-1,16.0,2023,238
Sacked-Yards,2-14,4-23,16.0,2023,238
Net Pass Yards,48,223,16.0,2023,238
Total Yards,205,308,16.0,2023,238
Fumbles-Lost,1-0,2-1,16.0,2023,238
Turnovers,0,2,16.0,2023,238
Penalties-Yards,4-20,5-44,16.0,2023,238
Third Down Conv.,3-12,5-16,16.0,2023,238
Fourth Down Conv.,0-0,3-5,16.0,2023,238
Time of Possession,25:42,34:18,16.0,2023,238
