Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,16.0,2023,235
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, returned by Velus Jones for 26 yards (tackle by Dan Chisena and Andre Chachere)",0.0,0.67,16.0,2023,235
1.0,14:54,1.0,10.0,CHI 26,0.0,0.0,Khalil Herbert left guard for 13 yards (tackle by Jalen Thompson),0.67,1.53,16.0,2023,235
1.0,14:25,1.0,10.0,CHI 39,0.0,0.0,Justin Fields pass complete short middle to D.J. Moore for 6 yards (tackle by Starling Thomas),1.53,1.8,16.0,2023,235
1.0,14:07,2.0,4.0,CHI 45,0.0,0.0,Roschon Johnson right tackle for 2 yards (tackle by Krys Barnes and Kevin Strong),1.8,1.36,16.0,2023,235
1.0,13:30,3.0,2.0,CHI 47,0.0,0.0,Justin Fields pass incomplete short right intended for Cole Kmet (defended by Jalen Thompson),1.36,-0.26,16.0,2023,235
1.0,13:24,4.0,2.0,CHI 47,0.0,0.0,Trenton Gill punts 44 yards downed by Travis Homer,-0.26,0.38,16.0,2023,235
1.0,13:14,1.0,10.0,ARI 9,0.0,0.0,James Conner left end for 4 yards (tackle by Jaylon Johnson),-0.38,-0.48,16.0,2023,235
1.0,12:38,2.0,6.0,ARI 13,0.0,0.0,James Conner right guard for 4 yards (tackle by Jaquan Brisker and DeMarcus Walker),-0.48,-0.48,16.0,2023,235
1.0,12:03,3.0,2.0,ARI 17,0.0,0.0,James Conner left guard for 6 yards (tackle by Montez Sweat),-0.48,0.48,16.0,2023,235
1.0,11:34,1.0,10.0,ARI 23,0.0,0.0,Kyler Murray sacked by Justin Jones for -9 yards,0.48,-1.4,16.0,2023,235
1.0,10:50,2.0,19.0,ARI 14,0.0,0.0,Kyler Murray pass complete short middle to Elijah Higgins for 5 yards (tackle by Kyler Gordon),-1.4,-1.36,16.0,2023,235
1.0,10:13,3.0,14.0,ARI 19,0.0,0.0,Emari Demercado right tackle for 3 yards (tackle by Montez Sweat),-1.36,-1.9,16.0,2023,235
1.0,9:21,4.0,11.0,ARI 22,0.0,0.0,"Blake Gillikin punts 52 yards, fair catch by Trent Taylor at CHI-26",-1.9,-0.67,16.0,2023,235
1.0,9:12,1.0,10.0,CHI 26,0.0,0.0,Justin Fields pass complete deep left to Cole Kmet for 53 yards (tackle by Jalen Thompson),0.67,4.17,16.0,2023,235
1.0,8:45,1.0,10.0,ARI 21,0.0,0.0,Justin Fields scrambles right end for 3 yards (tackle by Budda Baker),4.17,4.04,16.0,2023,235
1.0,8:10,2.0,7.0,ARI 18,0.0,0.0,Khalil Herbert left end for 9 yards (tackle by Budda Baker and Jonathan Ledbetter),4.04,5.14,16.0,2023,235
1.0,7:28,1.0,9.0,ARI 9,0.0,0.0,Khalil Herbert right tackle for 3 yards (tackle by Jesse Luketa and Jonathan Ledbetter),5.14,4.95,16.0,2023,235
1.0,6:49,2.0,6.0,ARI 6,0.0,0.0,Justin Fields pass incomplete short right,4.95,4.04,16.0,2023,235
1.0,6:43,3.0,6.0,ARI 6,0.0,0.0,"Justin Fields sacked by Dante Stills for no gain. Penalty on Starling Thomas: Defensive Holding, 3 yards (accepted) (no play)",4.04,6.51,16.0,2023,235
