Unnamed: 0,NOR,LAR,week,year,game_id
First Downs,18,23,16.0,2023,225
Rush-Yds-TDs,16-35-0,32-133-1,16.0,2023,225
Cmp-Att-Yd-TD-INT,27-40-319-3-1,24-34-328-2-0,16.0,2023,225
Sacked-Yards,2-15,1-3,16.0,2023,225
Net Pass Yards,304,325,16.0,2023,225
Total Yards,339,458,16.0,2023,225
Fumbles-Lost,0-0,0-0,16.0,2023,225
Turnovers,1,0,16.0,2023,225
Penalties-Yards,3-20,3-25,16.0,2023,225
Third Down Conv.,5-11,4-12,16.0,2023,225
Fourth Down Conv.,0-3,1-1,16.0,2023,225
Time of Possession,25:42,34:18,16.0,2023,225
