Quarter,Time,Tm,Detail,DAL,MIA,week,year,game_id
1.0,2:50,Dolphins,Jason Sanders 57 yard field goal,0,3,16.0,2023,236
,1:30,Cowboys,CeeDee Lamb 49 yard pass from Dak Prescott (Brandon Aubrey kick),7,3,16.0,2023,236
2.0,4:31,Dolphins,Jason Sanders 52 yard field goal,7,6,16.0,2023,236
,0:17,Dolphins,Raheem Mostert 4 yard pass from Tua Tagovailoa (Jason Sanders kick),7,13,16.0,2023,236
3.0,8:59,Dolphins,Jason Sanders 54 yard field goal,7,16,16.0,2023,236
,5:28,Cowboys,Brandon Aubrey 43 yard field goal,10,16,16.0,2023,236
,1:24,Dolphins,Jason Sanders 35 yard field goal,10,19,16.0,2023,236
4.0,12:31,Cowboys,Brandon Aubrey 33 yard field goal,13,19,16.0,2023,236
,3:33,Cowboys,Brandin Cooks 8 yard pass from Dak Prescott (Brandon Aubrey kick),20,19,16.0,2023,236
,0:00,Dolphins,Jason Sanders 29 yard field goal,20,22,16.0,2023,236
