Unnamed: 0,CIN,PIT,week,year,game_id
First Downs,17,16,16.0,2023,226
Rush-Yds-TDs,16-59-0,30-113-2,16.0,2023,226
Cmp-Att-Yd-TD-INT,28-42-335-1-3,17-27-290-2-0,16.0,2023,226
Sacked-Yards,3-26,1-6,16.0,2023,226
Net Pass Yards,309,284,16.0,2023,226
Total Yards,368,397,16.0,2023,226
Fumbles-Lost,1-0,1-0,16.0,2023,226
Turnovers,3,0,16.0,2023,226
Penalties-Yards,3-20,2-15,16.0,2023,226
Third Down Conv.,6-13,7-14,16.0,2023,226
Fourth Down Conv.,0-2,0-0,16.0,2023,226
Time of Possession,31:49,28:11,16.0,2023,226
