Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Bills to receive the opening kickoff.",,,16.0,2023,227
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short right to Stefon Diggs for no gain (tackle by Derwin James),0.61,0.06,16.0,2023,227
1.0,14:37,2.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short left to Khalil Shakir for 14 yards (tackle by Asante Samuel),0.06,1.53,16.0,2023,227
1.0,14:08,1.0,10.0,BUF 39,0.0,0.0,James Cook left end for 2 yards (tackle by Nick Williams),1.53,1.26,16.0,2023,227
1.0,13:30,2.0,8.0,BUF 41,0.0,0.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,1.26,0.56,16.0,2023,227
1.0,13:24,3.0,8.0,BUF 41,0.0,0.0,Josh Allen pass incomplete short middle intended for Gabriel Davis (defended by Jaylinn Hawkins),0.56,-0.65,16.0,2023,227
1.0,13:20,4.0,8.0,BUF 41,0.0,0.0,"Sam Martin punts 51 yards, fair catch by Derius Davis at LAC-8",-0.65,0.38,16.0,2023,227
1.0,13:12,1.0,10.0,LAC 8,0.0,0.0,Easton Stick pass complete short right to Austin Ekeler for 7 yards (tackle by Taylor Rapp),-0.38,-0.21,16.0,2023,227
1.0,12:37,2.0,3.0,LAC 15,0.0,0.0,Austin Ekeler right tackle for 8 yards (tackle by Taylor Rapp),-0.21,0.48,16.0,2023,227
1.0,12:06,1.0,10.0,LAC 23,0.0,0.0,Austin Ekeler up the middle for 1 yard (tackle by Gregory Rousseau),0.48,0.07,16.0,2023,227
1.0,11:31,2.0,9.0,LAC 24,0.0,0.0,Easton Stick pass complete deep right to Quentin Johnston for 21 yards (tackle by Taylor Rapp),0.07,1.93,16.0,2023,227
1.0,10:55,1.0,10.0,LAC 45,0.0,0.0,Quentin Johnston left end for 1 yard (tackle by Terrel Bernard and Gregory Rousseau),1.93,1.52,16.0,2023,227
1.0,10:24,2.0,9.0,LAC 46,0.0,0.0,Easton Stick pass complete short right to Josh Palmer for 2 yards (tackle by Jordan Poyer),1.52,1.09,16.0,2023,227
1.0,9:48,3.0,7.0,LAC 48,0.0,0.0,Easton Stick pass complete deep left to Josh Palmer for 19 yards (tackle by Cameron Lewis and Taylor Rapp),1.09,3.38,16.0,2023,227
1.0,9:15,1.0,10.0,BUF 33,0.0,0.0,Easton Stick right end for 1 yard (tackle by Leonard Floyd),3.38,2.97,16.0,2023,227
1.0,8:38,2.0,9.0,BUF 32,0.0,0.0,Easton Stick pass incomplete deep right intended for Quentin Johnston,2.97,2.28,16.0,2023,227
1.0,8:32,3.0,9.0,BUF 32,0.0,0.0,Easton Stick pass complete deep middle to Stone Smartt for 23 yards (tackle by Cameron Lewis),2.28,5.14,16.0,2023,227
1.0,7:55,1.0,9.0,BUF 9,0.0,0.0,Easton Stick left end for 2 yards (tackle by Tyrel Dodson),5.14,4.76,16.0,2023,227
1.0,7:21,2.0,7.0,BUF 7,0.0,0.0,Austin Ekeler right tackle for 5 yards (tackle by Taron Johnson and Tim Settle),4.76,4.95,16.0,2023,227
1.0,6:43,3.0,2.0,BUF 2,0.0,0.0,Easton Stick pass incomplete short left intended for Josh Palmer,4.95,3.25,16.0,2023,227
1.0,6:35,4.0,2.0,BUF 2,0.0,3.0,Cameron Dicker 20 yard field goal good,3.25,3.0,16.0,2023,227
1.0,6:32,,,LAC 35,0.0,3.0,"Cameron Dicker kicks off 56 yards, returned by Leonard Fournette for 17 yards (tackle by Daiyan Henley). Penalty on Baylon Spector: Offensive Holding, 10 yards (accepted)",0.0,-0.14,16.0,2023,227
1.0,6:27,1.0,10.0,BUF 16,0.0,3.0,Leonard Fournette left guard for 3 yards (tackle by Austin Johnson and Scott Matlock),-0.14,-0.18,16.0,2023,227
1.0,5:48,2.0,7.0,BUF 19,0.0,3.0,Josh Allen pass complete deep right to Gabriel Davis for 17 yards (tackle by Michael Davis),-0.18,1.33,16.0,2023,227
1.0,5:05,1.0,10.0,BUF 36,0.0,3.0,Josh Allen right end for 6 yards (tackle by Alohi Gilman),1.33,1.6,16.0,2023,227
1.0,4:25,2.0,4.0,BUF 42,0.0,3.0,James Cook left tackle for -1 yards (tackle by Khalil Mack),1.6,0.76,16.0,2023,227
1.0,3:43,3.0,5.0,BUF 41,0.0,3.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,0.76,-0.65,16.0,2023,227
1.0,3:37,4.0,5.0,BUF 41,0.0,3.0,"Sam Martin punts 44 yards, fair catch by Derius Davis at LAC-15",-0.65,0.22,16.0,2023,227
1.0,3:30,1.0,10.0,LAC 15,0.0,3.0,Austin Ekeler right end for 1 yard (tackle by Taron Johnson),-0.22,-0.58,16.0,2023,227
1.0,2:46,2.0,9.0,LAC 16,0.0,3.0,Easton Stick pass complete short middle to Gerald Everett for 5 yards (tackle by Tyrel Dodson and Taron Johnson) (no play),-0.58,-1.07,16.0,2023,227
1.0,2:37,2.0,14.0,LAC 11,0.0,3.0,"Easton Stick pass deep middle is intercepted by Christian Benford at LAC-30 and returned for no gain (tackle by Alex Erickson). Penalty on Christian Benford: Defensive Holding, 5 yards (accepted) (no play)",-1.07,-0.14,16.0,2023,227
1.0,2:20,1.0,10.0,LAC 16,0.0,3.0,Isaiah Spiller left guard for no gain (tackle by Gregory Rousseau),-0.14,-0.66,16.0,2023,227
1.0,1:40,2.0,10.0,LAC 16,0.0,3.0,Isaiah Spiller right tackle for 1 yard (tackle by Ed Oliver and Linval Joseph),-0.66,-1.2,16.0,2023,227
1.0,1:00,3.0,9.0,LAC 17,0.0,3.0,Easton Stick up the middle for -4 yards (tackle by Cameron Lewis),-1.2,-2.49,16.0,2023,227
1.0,0:21,4.0,13.0,LAC 13,0.0,3.0,"JK Scott punts 57 yards, returned by Deonte Harty for -3 yards. Deonte Harty fumbles (forced by AJ Finley) (tackle by Ja'Sir Taylor), recovered by Amen Ogbongbemiga at BUF-27 (tackle by AJ Finley) (tackle by Ja'Sir Taylor) (tackle by AJ Finley) (tackle by Ja'Sir Taylor). Penalty on Damar Hamlin: Offensive Holding, 10 yards (declined)",-2.49,3.78,16.0,2023,227
1.0,0:04,1.0,10.0,BUF 27,0.0,3.0,Easton Stick pass complete short left to Gerald Everett for 15 yards (tackle by Rasul Douglas),3.78,4.78,16.0,2023,227
2.0,15:00,1.0,10.0,BUF 12,0.0,3.0,Easton Stick pass complete short left to Gerald Everett for 2 yards (tackle by Gregory Rousseau),4.78,4.45,16.0,2023,227
2.0,14:40,2.0,8.0,BUF 10,0.0,3.0,Easton Stick pass complete short right to Gerald Everett for 9 yards (tackle by Rasul Douglas),4.45,6.97,16.0,2023,227
2.0,13:54,1.0,1.0,BUF 1,0.0,9.0,"Easton Stick right end for 1 yard, touchdown",6.97,7.0,16.0,2023,227
2.0,13:49,,,BUF 15,0.0,10.0,Cameron Dicker kicks extra point good,0.0,0.0,16.0,2023,227
2.0,13:49,,,LAC 35,0.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
2.0,13:49,1.0,10.0,BUF 25,0.0,10.0,James Cook left guard for 5 yards (tackle by Tuli Tuipulotu),0.61,0.74,16.0,2023,227
2.0,13:13,2.0,5.0,BUF 30,0.0,10.0,James Cook up the middle for 10 yards (tackle by Jaylinn Hawkins),0.74,1.6,16.0,2023,227
2.0,12:38,1.0,10.0,BUF 40,0.0,10.0,James Cook right tackle for 3 yards (tackle by Tuli Tuipulotu and Nick Williams),1.6,1.46,16.0,2023,227
2.0,11:58,2.0,7.0,BUF 43,0.0,10.0,"Josh Allen scrambles left end for no gain (tackle by Kenneth Murray). Penalty on Mitch Morse: Offensive Holding, 10 yards (accepted) (no play)",1.46,0.11,16.0,2023,227
2.0,11:36,2.0,17.0,BUF 33,0.0,10.0,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Michael Davis),0.11,0.37,16.0,2023,227
2.0,10:57,3.0,10.0,BUF 40,0.0,10.0,Josh Allen pass incomplete short left intended for Dalton Kincaid,0.37,-0.72,16.0,2023,227
2.0,10:52,4.0,10.0,BUF 40,0.0,10.0,Sam Martin punts 56 yards out of bounds,-0.72,0.38,16.0,2023,227
2.0,10:43,1.0,10.0,LAC 4,0.0,10.0,Austin Ekeler right tackle for 4 yards (tackle by Jordan Poyer),-0.38,-0.49,16.0,2023,227
2.0,10:07,2.0,6.0,LAC 8,0.0,10.0,Easton Stick pass incomplete short left intended for Gerald Everett,-0.49,-0.95,16.0,2023,227
2.0,10:04,3.0,6.0,LAC 8,0.0,10.0,Easton Stick pass complete short left to Josh Palmer for 3 yards (tackle by Terrel Bernard),-0.95,-2.49,16.0,2023,227
2.0,9:24,4.0,3.0,LAC 11,0.0,10.0,"JK Scott punts 49 yards, returned by Deonte Harty for 3 yards (tackle by Nick Niemann)",-2.49,-1.8,16.0,2023,227
2.0,9:12,1.0,10.0,BUF 43,6.0,10.0,"Josh Allen pass complete deep right to Gabriel Davis for 57 yards, touchdown",1.8,7.0,16.0,2023,227
2.0,9:02,,,LAC 15,7.0,10.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2023,227
2.0,9:02,,,BUF 35,7.0,10.0,"Tyler Bass kicks off 55 yards, recovered by Derius Davis at LAC-8 (tackle by Dorian Williams)",0.0,-0.38,16.0,2023,227
2.0,8:59,1.0,10.0,LAC 8,7.0,10.0,Austin Ekeler right guard for 5 yards (tackle by Terrel Bernard),-0.38,-0.41,16.0,2023,227
2.0,8:22,2.0,5.0,LAC 13,7.0,10.0,Easton Stick right end for 2 yards (tackle by Rasul Douglas),-0.41,-0.6,16.0,2023,227
2.0,7:43,3.0,3.0,LAC 15,7.0,10.0,Austin Ekeler left end for 7 yards (tackle by Gregory Rousseau),-0.6,0.41,16.0,2023,227
2.0,7:18,1.0,10.0,LAC 22,7.0,10.0,Austin Ekeler left end for 10 yards (tackle by Leonard Floyd and Jordan Poyer),0.41,1.07,16.0,2023,227
2.0,6:36,1.0,10.0,LAC 32,7.0,10.0,Easton Stick pass incomplete deep right intended for Quentin Johnston,1.07,0.53,16.0,2023,227
2.0,6:31,2.0,10.0,LAC 32,7.0,10.0,Joshua Kelley left end for -2 yards (tackle by Tyrel Dodson),0.53,-0.43,16.0,2023,227
2.0,5:51,3.0,12.0,LAC 30,7.0,10.0,"Easton Stick scrambles right end for no gain (tackle by Taylor Rapp and Jordan Poyer). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",-0.43,-1.75,16.0,2023,227
