Unnamed: 0,GNB,CAR,week,year,game_id
First Downs,25,26,16.0,2023,229
Rush-Yds-TDs,34-162-2,25-96-2,16.0,2023,229
Cmp-Att-Yd-TD-INT,17-28-219-2-0,23-36-312-2-0,16.0,2023,229
Sacked-Yards,1-12,2-14,16.0,2023,229
Net Pass Yards,207,298,16.0,2023,229
Total Yards,369,394,16.0,2023,229
Fumbles-Lost,1-0,2-0,16.0,2023,229
Turnovers,0,0,16.0,2023,229
Penalties-Yards,6-67,8-87,16.0,2023,229
Third Down Conv.,8-14,6-13,16.0,2023,229
Fourth Down Conv.,0-0,1-2,16.0,2023,229
Time of Possession,28:39,31:21,16.0,2023,229
