Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Lions,6.0,15.44,16.63,1.18,-3.72,-11.43,-15.09,2.33,6.03,0.61,-2.21,3.05,2.42,-2.33,-0.32,16.0,2023,231
Vikings,-6.0,11.43,15.09,-2.33,-6.03,-15.44,-16.63,-1.18,3.72,-0.61,-3.05,2.21,2.33,-2.42,0.32,16.0,2023,231
