Unnamed: 0,BUF,LAC,week,year,game_id
First Downs,16,18,16.0,2023,227
Rush-Yds-TDs,30-105-2,27-98-1,16.0,2023,227
Cmp-Att-Yd-TD-INT,15-21-237-1-1,23-33-215-0-0,16.0,2023,227
Sacked-Yards,1-7,5-40,16.0,2023,227
Net Pass Yards,230,175,16.0,2023,227
Total Yards,335,273,16.0,2023,227
Fumbles-Lost,3-2,0-0,16.0,2023,227
Turnovers,3,0,16.0,2023,227
Penalties-Yards,7-64,6-29,16.0,2023,227
Third Down Conv.,5-10,4-14,16.0,2023,227
Fourth Down Conv.,0-0,0-0,16.0,2023,227
Time of Possession,26:56,33:04,16.0,2023,227
