Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Bailey Zappe,NWE,1,2,0,2,16.0,2023,237
Ezekiel Elliott,NWE,12,27,0,6,16.0,2023,237
Kevin Harris,NWE,7,21,0,6,16.0,2023,237
Tyquan Thornton,NWE,1,9,0,9,16.0,2023,237
Demario Douglas,NWE,0,0,0,0,16.0,2023,237
DeVante Parker,NWE,0,0,0,0,16.0,2023,237
Jalen Reagor,NWE,0,0,0,0,16.0,2023,237
Pharaoh Brown,NWE,0,0,0,0,16.0,2023,237
Mike Gesicki,NWE,0,0,0,0,16.0,2023,237
Russell Wilson,DEN,4,20,0,14,16.0,2023,237
Jaleel McLaughlin,DEN,6,37,0,12,16.0,2023,237
Javonte Williams,DEN,11,24,1,9,16.0,2023,237
Samaje Perine,DEN,1,2,0,2,16.0,2023,237
Marvin Mims,DEN,0,0,0,0,16.0,2023,237
Brandon Johnson,DEN,0,0,0,0,16.0,2023,237
Jerry Jeudy,DEN,0,0,0,0,16.0,2023,237
Lucas Krull,DEN,0,0,0,0,16.0,2023,237
Michael Burton,DEN,1,0,0,0,16.0,2023,237
Courtland Sutton,DEN,0,0,0,0,16.0,2023,237
Adam Trautman,DEN,0,0,0,0,16.0,2023,237
