Quarter,Time,Tm,Detail,GNB,CAR,week,year,game_id
1.0,7:30,Packers,AJ Dillon 1 yard rush (Anders Carlson kick),7,0,16.0,2023,229
,5:24,Panthers,Eddy Piñeiro 52 yard field goal,7,3,16.0,2023,229
2.0,14:57,Packers,Jordan Love 1 yard rush (Anders Carlson kick failed),13,3,16.0,2023,229
,10:29,Panthers,Ihmir Smith-Marsette 20 yard rush (Eddy Piñeiro kick),13,10,16.0,2023,229
,7:51,Packers,Anders Carlson 53 yard field goal,16,10,16.0,2023,229
,0:49,Packers,Dontayvion Wicks 21 yard pass from Jordan Love (Anders Carlson kick),23,10,16.0,2023,229
3.0,5:11,Panthers,Chuba Hubbard 4 yard rush (Eddy Piñeiro kick failed),23,16,16.0,2023,229
4.0,14:57,Packers,Romeo Doubs 5 yard pass from Jordan Love (Anders Carlson kick),30,16,16.0,2023,229
,7:14,Panthers,DJ Chark 11 yard pass from Bryce Young (Eddy Piñeiro kick failed),30,22,16.0,2023,229
,4:05,Panthers,DJ Chark 10 yard pass from Bryce Young (Raheem Blackshear run),30,30,16.0,2023,229
,0:19,Packers,Anders Carlson 32 yard field goal,33,30,16.0,2023,229
