Quarter,Time,Down,ToGo,Location,IND,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Colts to receive the opening kickoff.",,,16.0,2023,228
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Gardner Minshew pass incomplete short right intended for Kylen Granson,0.61,0.06,16.0,2023,228
1.0,14:56,2.0,10.0,IND 25,0.0,0.0,Gardner Minshew pass complete short left to Josh Downs for -1 yards (tackle by DeMarcco Hellams),0.06,-0.76,16.0,2023,228
1.0,14:19,3.0,11.0,IND 24,0.0,0.0,Gardner Minshew pass complete deep left to Will Mallory for 18 yards (tackle by Nathan Landman),-0.76,1.73,16.0,2023,228
1.0,13:51,1.0,10.0,IND 42,0.0,0.0,Trey Sermon left guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),1.73,1.73,16.0,2023,228
1.0,13:15,2.0,6.0,IND 46,0.0,0.0,Gardner Minshew pass complete short left to Alec Pierce for 7 yards (tackle by Kaden Elliss and AJ Terrell),1.73,2.46,16.0,2023,228
1.0,12:51,1.0,10.0,ATL 47,0.0,0.0,Gardner Minshew pass complete short middle to Will Mallory for 12 yards (tackle by Jessie Bates),2.46,3.25,16.0,2023,228
1.0,12:21,1.0,10.0,ATL 35,0.0,0.0,Jonathan Taylor right guard for 6 yards (tackle by Mike Hughes and DeMarcco Hellams),3.25,3.51,16.0,2023,228
1.0,12:00,2.0,4.0,ATL 29,0.0,0.0,Jonathan Taylor left guard for 13 yards (tackle by DeMarcco Hellams and Jessie Bates),3.51,4.51,16.0,2023,228
1.0,11:40,1.0,10.0,ATL 16,0.0,0.0,Jonathan Taylor right guard for 2 yards (tackle by Nathan Landman),4.51,4.21,16.0,2023,228
1.0,10:55,2.0,8.0,ATL 14,0.0,0.0,Gardner Minshew pass incomplete short right,4.21,3.37,16.0,2023,228
1.0,10:47,3.0,8.0,ATL 14,0.0,0.0,"Gardner Minshew pass incomplete short right intended for Alec Pierce. Penalty on AJ Terrell: Defensive Pass Interference, 13 yards (accepted) (no play)",3.37,6.97,16.0,2023,228
1.0,10:43,1.0,1.0,ATL 1,0.0,0.0,Jonathan Taylor right guard for no gain (tackle by LaCale London and Nathan Landman),6.97,5.91,16.0,2023,228
1.0,10:10,2.0,1.0,ATL 1,0.0,0.0,Jonathan Taylor right guard for no gain (tackle by Kaden Elliss and Jessie Bates),5.91,5.17,16.0,2023,228
1.0,9:26,3.0,1.0,ATL 1,6.0,0.0,"Jonathan Taylor right tackle for 1 yard, touchdown",5.17,7.0,16.0,2023,228
1.0,9:24,,,ATL 15,7.0,0.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2023,228
1.0,9:24,,,IND 35,7.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
1.0,9:24,1.0,10.0,ATL 25,7.0,0.0,Taylor Heinicke pass complete short middle to Bijan Robinson for 4 yards (tackle by Zaire Franklin),0.61,0.6,16.0,2023,228
1.0,9:03,2.0,6.0,ATL 29,7.0,0.0,Taylor Heinicke pass incomplete short left intended for Drake London (defended by Jaylon Jones),0.6,-0.1,16.0,2023,228
1.0,8:57,3.0,6.0,ATL 29,7.0,0.0,Taylor Heinicke pass complete short right to Scott Miller for 15 yards (tackle by Julius Brents),-0.1,1.86,16.0,2023,228
1.0,8:15,1.0,10.0,ATL 44,7.0,0.0,Bijan Robinson left end for 32 yards (tackle by Rodney Thomas),1.86,3.97,16.0,2023,228
1.0,7:46,1.0,10.0,IND 24,7.0,6.0,"Taylor Heinicke pass complete deep left to Kyle Pitts for 24 yards, touchdown",3.97,7.0,16.0,2023,228
1.0,7:42,,,IND 15,7.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,16.0,2023,228
1.0,7:42,,,ATL 35,7.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
1.0,7:42,1.0,10.0,IND 25,7.0,7.0,Jonathan Taylor right end for no gain (tackle by Zach Harrison),0.61,0.06,16.0,2023,228
