Unnamed: 0,NWE,LVR,week,year,game_id
First Downs,17,19,6.0,2023,88
Rush-Yds-TDs,19-83-2,33-84-0,6.0,2023,88
Cmp-Att-Yd-TD-INT,24-33-200-0-1,20-32-264-1-1,6.0,2023,88
Sacked-Yards,4-24,0-0,6.0,2023,88
Net Pass Yards,176,264,6.0,2023,88
Total Yards,259,348,6.0,2023,88
Fumbles-Lost,0-0,0-0,6.0,2023,88
Turnovers,1,1,6.0,2023,88
Penalties-Yards,10-79,6-42,6.0,2023,88
Third Down Conv.,6-12,8-16,6.0,2023,88
Fourth Down Conv.,0-0,0-0,6.0,2023,88
Time of Possession,27:48,32:12,6.0,2023,88
