Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Lamar Jackson,BAL,13,62,0,12,6.0,2023,80
Gus Edwards,BAL,16,41,0,8,6.0,2023,80
Justice Hill,BAL,8,35,0,10,6.0,2023,80
Zay Flowers,BAL,1,1,0,1,6.0,2023,80
Mark Andrews,BAL,1,0,0,0,6.0,2023,80
Nelson Agholor,BAL,0,0,0,0,6.0,2023,80
Odell Beckham Jr.,BAL,0,0,0,0,6.0,2023,80
Rashod Bateman,BAL,0,0,0,0,6.0,2023,80
Patrick Ricard,BAL,0,0,0,0,6.0,2023,80
Ryan Tannehill,TEN,0,0,0,0,6.0,2023,80
Malik Willis,TEN,3,17,0,11,6.0,2023,80
Derrick Henry,TEN,12,97,1,63,6.0,2023,80
Tyjae Spears,TEN,4,15,0,12,6.0,2023,80
Nick Westbrook-Ikhine,TEN,0,0,0,0,6.0,2023,80
DeAndre Hopkins,TEN,0,0,0,0,6.0,2023,80
Chigoziem Okonkwo,TEN,0,0,0,0,6.0,2023,80
Josh Whyle,TEN,0,0,0,0,6.0,2023,80
Chris Moore,TEN,0,0,0,0,6.0,2023,80
Kyle Philips,TEN,0,0,0,0,6.0,2023,80
