Unnamed: 0,SEA,CIN,week,year,game_id
First Downs,24,15,6.0,2023,85
Rush-Yds-TDs,25-87-1,15-46-0,6.0,2023,85
Cmp-Att-Yd-TD-INT,27-41-326-0-2,24-35-185-2-1,6.0,2023,85
Sacked-Yards,4-29,3-17,6.0,2023,85
Net Pass Yards,297,168,6.0,2023,85
Total Yards,384,214,6.0,2023,85
Fumbles-Lost,0-0,0-0,6.0,2023,85
Turnovers,2,1,6.0,2023,85
Penalties-Yards,7-64,5-43,6.0,2023,85
Third Down Conv.,5-12,3-11,6.0,2023,85
Fourth Down Conv.,0-2,0-0,6.0,2023,85
Time of Possession,34:01,25:59,6.0,2023,85
