Quarter,Time,Tm,Detail,NOR,HOU,week,year,game_id
1.0,3:41,Texans,Dalton Schultz 1 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),0,7,6.0,2023,87
,0:13,Saints,Rashid Shaheed 34 yard pass from Derek Carr (Blake Grupe kick),7,7,6.0,2023,87
2.0,10:28,Texans,Ka'imi Fairbairn 24 yard field goal,7,10,6.0,2023,87
,2:56,Texans,Robert Woods 6 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,17,6.0,2023,87
,0:18,Saints,Blake Grupe 48 yard field goal,10,17,6.0,2023,87
3.0,7:01,Texans,Ka'imi Fairbairn 22 yard field goal,10,20,6.0,2023,87
,2:17,Saints,Blake Grupe 45 yard field goal,13,20,6.0,2023,87
