Quarter,Time,Tm,Detail,DAL,LAC,week,year,game_id
1.0,10:31,Chargers,Keenan Allen 1 yard pass from Justin Herbert (Cameron Dicker kick),0,7,6.0,2023,93
,6:21,Cowboys,Dak Prescott 18 yard rush (Brandon Aubrey kick),7,7,6.0,2023,93
2.0,0:00,Cowboys,Brandon Aubrey 32 yard field goal,10,7,6.0,2023,93
3.0,1:08,Chargers,Cameron Dicker 24 yard field goal,10,10,6.0,2023,93
4.0,11:19,Cowboys,Brandin Cooks 2 yard pass from Dak Prescott (Brandon Aubrey kick),17,10,6.0,2023,93
,7:11,Chargers,Gerald Everett 1 yard pass from Justin Herbert (Cameron Dicker kick),17,17,6.0,2023,93
,2:19,Cowboys,Brandon Aubrey 39 yard field goal,20,17,6.0,2023,93
