Unnamed: 0,ARI,LAR,week,year,game_id
First Downs,20,17,6.0,2023,89
Rush-Yds-TDs,30-130-0,28-179-1,6.0,2023,89
Cmp-Att-Yd-TD-INT,21-41-235-0-1,15-24-226-1-0,6.0,2023,89
Sacked-Yards,2-20,3-23,6.0,2023,89
Net Pass Yards,215,203,6.0,2023,89
Total Yards,345,382,6.0,2023,89
Fumbles-Lost,1-1,1-1,6.0,2023,89
Turnovers,2,1,6.0,2023,89
Penalties-Yards,5-36,6-59,6.0,2023,89
Third Down Conv.,6-16,4-12,6.0,2023,89
Fourth Down Conv.,2-4,0-0,6.0,2023,89
Time of Possession,30:30,29:30,6.0,2023,89
