Unnamed: 0,NOR,HOU,week,year,game_id
First Downs,24,19,6.0,2023,87
Rush-Yds-TDs,25-89-0,31-120-0,6.0,2023,87
Cmp-Att-Yd-TD-INT,33-51-357-1-1,13-27-199-2-1,6.0,2023,87
Sacked-Yards,2-16,2-22,6.0,2023,87
Net Pass Yards,341,177,6.0,2023,87
Total Yards,430,297,6.0,2023,87
Fumbles-Lost,1-1,0-0,6.0,2023,87
Turnovers,2,1,6.0,2023,87
Penalties-Yards,7-83,3-29,6.0,2023,87
Third Down Conv.,6-15,4-11,6.0,2023,87
Fourth Down Conv.,0-2,0-0,6.0,2023,87
Time of Possession,31:33,28:27,6.0,2023,87
