Unnamed: 0,MIN,CHI,week,year,game_id
First Downs,12,18,6.0,2023,84
Rush-Yds-TDs,22-46-0,36-162-1,6.0,2023,84
Cmp-Att-Yd-TD-INT,21-31-181-1-0,16-24-141-0-2,6.0,2023,84
Sacked-Yards,2-7,5-28,6.0,2023,84
Net Pass Yards,174,113,6.0,2023,84
Total Yards,220,275,6.0,2023,84
Fumbles-Lost,3-1,2-1,6.0,2023,84
Turnovers,1,3,6.0,2023,84
Penalties-Yards,5-63,5-29,6.0,2023,84
Third Down Conv.,2-13,6-14,6.0,2023,84
Fourth Down Conv.,1-2,0-1,6.0,2023,84
Time of Possession,24:49,35:11,6.0,2023,84
