Quarter,Time,Tm,Detail,WAS,ATL,week,year,game_id
1.0,8:45,Commanders,Joey Slye 37 yard field goal,3,0,6.0,2023,82
,2:46,Falcons,Kyle Pitts 9 yard pass from Desmond Ridder (Younghoe Koo kick),3,7,6.0,2023,82
2.0,11:47,Commanders,Antonio Gibson 1 yard pass from Sam Howell (Joey Slye kick),10,7,6.0,2023,82
,5:18,Commanders,Curtis Samuel 7 yard pass from Sam Howell (Joey Slye kick),17,7,6.0,2023,82
,1:31,Falcons,Younghoe Koo 47 yard field goal,17,10,6.0,2023,82
3.0,12:03,Commanders,Brian Robinson Jr. 24 yard pass from Sam Howell (Joey Slye kick),24,10,6.0,2023,82
4.0,12:38,Falcons,Jonnu Smith 2 yard pass from Desmond Ridder (run failed),24,16,6.0,2023,82
