Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,,6.0,2023,84
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 70 yards, returned by Velus Jones for 37 yards (tackle by Ty Chandler and C.J. Ham)",0.0,1.07,6.0,2023,84
1.0,14:53,1.0,10.0,CHI 32,0.0,0.0,Justin Fields sacked by D.J. Wonnum for -7 yards,1.07,-0.42,6.0,2023,84
1.0,14:19,2.0,17.0,CHI 25,0.0,0.0,Justin Fields right end for 13 yards (tackle by Jordan Hicks),-0.42,0.63,6.0,2023,84
1.0,13:34,3.0,4.0,CHI 38,0.0,0.0,Justin Fields right tackle for 8 yards (tackle by Harrison Smith),0.63,1.99,6.0,2023,84
1.0,12:50,1.0,10.0,CHI 46,0.0,0.0,Darrynton Evans left end for -5 yards (tackle by Josh Metellus and D.J. Wonnum),1.99,0.78,6.0,2023,84
1.0,12:12,2.0,15.0,CHI 41,0.0,0.0,Justin Fields sacked by Danielle Hunter for -6 yards,0.78,-0.69,6.0,2023,84
1.0,11:26,3.0,21.0,CHI 35,0.0,0.0,Justin Fields pass incomplete short right intended for Tyler Scott,-0.69,-1.04,6.0,2023,84
1.0,11:21,4.0,21.0,CHI 35,0.0,0.0,"Trenton Gill punts 40 yards, returned by Brandon Powell for 7 yards (tackle by Jack Sanborn and Robert Tonyan)",-1.04,-1.07,6.0,2023,84
1.0,11:11,1.0,10.0,MIN 32,0.0,0.0,"Penalty on Andrew Billings: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.07,1.8,6.0,2023,84
1.0,11:11,1.0,5.0,MIN 37,0.0,0.0,Kirk Cousins pass complete short middle to Jordan Addison for 15 yards (tackle by Tremaine Edmunds and Tyrique Stevenson),1.8,2.39,6.0,2023,84
1.0,10:34,1.0,10.0,CHI 48,0.0,0.0,Alexander Mattison right tackle for 5 yards (tackle by Jack Sanborn),2.39,2.52,6.0,2023,84
1.0,10:00,2.0,5.0,CHI 43,0.0,0.0,Alexander Mattison left tackle for 1 yard (tackle by Justin Jones and Jack Sanborn),2.52,1.95,6.0,2023,84
1.0,9:19,3.0,4.0,CHI 42,0.0,0.0,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by Eddie Jackson),1.95,0.66,6.0,2023,84
1.0,8:31,4.0,1.0,CHI 39,0.0,0.0,Kirk Cousins up the middle for 1 yard (tackle by Yannick Ngakoue),0.66,3.05,6.0,2023,84
1.0,7:52,1.0,10.0,CHI 38,0.0,0.0,Alexander Mattison left end for no gain (tackle by Jack Sanborn),3.05,2.51,6.0,2023,84
1.0,7:15,2.0,10.0,CHI 38,0.0,0.0,Kirk Cousins pass complete short left to Alexander Mattison for 3 yards (tackle by T.J. Edwards),2.51,2.21,6.0,2023,84
1.0,6:35,3.0,7.0,CHI 35,0.0,0.0,Kirk Cousins pass incomplete short right intended for Brandon Powell,2.21,0.97,6.0,2023,84
1.0,6:29,4.0,7.0,CHI 35,3.0,0.0,Greg Joseph 53 yard field goal good,0.97,3.0,6.0,2023,84
1.0,6:24,,,MIN 35,3.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,84
1.0,6:24,1.0,10.0,CHI 25,3.0,0.0,D'Onta Foreman right tackle for 7 yards (tackle by Danielle Hunter),0.61,1.01,6.0,2023,84
1.0,5:49,2.0,3.0,CHI 32,3.0,0.0,Justin Fields left guard for 1 yard (tackle by Harrison Phillips),1.01,0.43,6.0,2023,84
1.0,5:12,3.0,2.0,CHI 33,3.0,0.0,Justin Fields pass complete short right to Cole Kmet for 2 yards (tackle by Akayleb Evans),0.43,1.27,6.0,2023,84
1.0,4:34,1.0,10.0,CHI 35,3.0,0.0,Justin Fields pass complete short left to Khari Blasingame for 1 yard (tackle by Jordan Hicks),1.27,0.86,6.0,2023,84
1.0,4:08,2.0,9.0,CHI 36,3.0,0.0,D'Onta Foreman right tackle for 8 yards (tackle by Camryn Bynum and Dean Lowry),0.86,1.22,6.0,2023,84
1.0,3:43,3.0,1.0,CHI 44,3.0,0.0,"Penalty on Cody Whitehair: False Start, 4 yards (accepted) (no play)",1.22,0.7,6.0,2023,84
1.0,3:21,3.0,5.0,CHI 40,3.0,0.0,Justin Fields pass complete short left to D.J. Moore for 7 yards (tackle by Josh Metellus and Byron Murphy),0.7,2.06,6.0,2023,84
1.0,2:44,1.0,10.0,CHI 47,3.0,0.0,Velus Jones right end for 17 yards (tackle by Camryn Bynum),2.06,3.18,6.0,2023,84
1.0,2:05,1.0,10.0,MIN 36,3.0,0.0,D'Onta Foreman right tackle for 6 yards (tackle by Khyiris Tonga),3.18,3.45,6.0,2023,84
1.0,1:18,2.0,4.0,MIN 30,3.0,0.0,Darrynton Evans left end for 11 yards (tackle by Camryn Bynum),3.45,4.31,6.0,2023,84
1.0,0:36,1.0,10.0,MIN 19,3.0,0.0,Darrynton Evans right guard for 12 yards (tackle by Jordan Hicks and Josh Metellus),4.31,5.6,6.0,2023,84
2.0,15:00,1.0,7.0,MIN 7,3.0,0.0,D'Onta Foreman left tackle for 3 yards (tackle by Danielle Hunter and Harrison Phillips),5.6,5.34,6.0,2023,84
2.0,14:18,2.0,4.0,MIN 4,3.0,0.0,Justin Fields pass incomplete short left intended for Cole Kmet,5.34,4.49,6.0,2023,84
2.0,14:13,3.0,4.0,MIN 4,3.0,0.0,Justin Fields sacked by Harrison Phillips for no gain,4.49,3.03,6.0,2023,84
2.0,13:45,4.0,4.0,MIN 4,3.0,3.0,Cairo Santos 22 yard field goal good,3.03,3.0,6.0,2023,84
2.0,13:41,,,CHI 35,3.0,3.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,84
2.0,13:41,1.0,10.0,MIN 25,3.0,3.0,Alexander Mattison right guard for 2 yards (tackle by Justin Jones and Tremaine Edmunds),0.61,0.33,6.0,2023,84
2.0,13:03,2.0,8.0,MIN 27,3.0,3.0,Kirk Cousins pass complete deep middle to K.J. Osborn for 21 yards (tackle by T.J. Edwards),0.33,2.13,6.0,2023,84
2.0,12:24,1.0,10.0,MIN 48,3.0,3.0,Alexander Mattison left tackle for 6 yards (tackle by DeMarcus Walker),2.13,2.39,6.0,2023,84
2.0,11:47,2.0,4.0,CHI 46,3.0,3.0,Brandon Powell left end for -1 yards (tackle by Yannick Ngakoue),2.39,1.55,6.0,2023,84
2.0,11:04,3.0,5.0,CHI 47,3.0,3.0,Kirk Cousins pass complete short middle to K.J. Osborn for 12 yards (tackle by Jaylon Johnson),1.55,3.25,6.0,2023,84
2.0,10:29,1.0,10.0,CHI 35,3.0,3.0,Kirk Cousins pass incomplete short left intended for Alexander Mattison,3.25,2.7,6.0,2023,84
2.0,10:23,2.0,10.0,CHI 35,3.0,3.0,Alexander Mattison left end for -2 yards (tackle by Zacch Pickens and Dominique Robinson),2.7,1.75,6.0,2023,84
2.0,9:44,3.0,12.0,CHI 37,3.0,3.0,Kirk Cousins pass complete short middle to Brandon Powell for 4 yards (tackle by Jaquan Brisker),1.75,1.15,6.0,2023,84
2.0,9:02,4.0,8.0,CHI 33,6.0,3.0,Greg Joseph 51 yard field goal good,1.15,3.0,6.0,2023,84
2.0,8:56,,,MIN 35,6.0,3.0,"Greg Joseph kicks off 70 yards, returned by Velus Jones for 34 yards (tackle by Josh Metellus and Brian Asamoah)",0.0,0.87,6.0,2023,84
2.0,8:50,1.0,10.0,CHI 29,6.0,3.0,"D'Onta Foreman left end for -6 yards. D'Onta Foreman fumbles (forced by Akayleb Evans), recovered by Robert Tonyan at CHI-23 (tackle by Akayleb Evans)",0.87,-0.48,6.0,2023,84
