Quarter,Time,Down,ToGo,Location,NWE,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Raiders to receive the opening kickoff.",,,6.0,2023,88
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Keion White and Davon Godchaux),0.61,0.6,6.0,2023,88
1.0,14:24,2.0,6.0,LVR 29,0.0,0.0,Jimmy Garoppolo pass complete short left to Michael Mayer for 4 yards (tackle by Jabrill Peppers),0.6,0.43,6.0,2023,88
1.0,13:43,3.0,2.0,LVR 33,0.0,0.0,Jimmy Garoppolo pass complete short middle to Michael Mayer for 13 yards (tackle by Ja'Whaun Bentley and Anfernee Jennings),0.43,1.99,6.0,2023,88
1.0,13:00,1.0,10.0,LVR 46,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Josh Jacobs (defended by Christian Barmore),1.99,1.45,6.0,2023,88
1.0,12:54,2.0,10.0,LVR 46,0.0,0.0,Josh Jacobs right tackle for 3 yards (tackle by Christian Barmore),1.45,1.16,6.0,2023,88
1.0,12:18,3.0,7.0,LVR 49,0.0,0.0,Jimmy Garoppolo pass complete short middle to Michael Mayer for 18 yards (tackle by Deatrich Wise and Kyle Dugger),1.16,3.38,6.0,2023,88
1.0,11:30,1.0,10.0,NWE 33,0.0,0.0,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,3.38,2.84,6.0,2023,88
1.0,11:24,2.0,10.0,NWE 33,0.0,0.0,Josh Jacobs left end for 9 yards (tackle by J.C. Jackson),2.84,3.34,6.0,2023,88
1.0,10:52,3.0,1.0,NWE 24,0.0,0.0,Jimmy Garoppolo up the middle for 2 yards (tackle by Lawrence Guy),3.34,4.11,6.0,2023,88
1.0,10:16,1.0,10.0,NWE 22,0.0,0.0,Josh Jacobs left guard for no gain (tackle by Keion White and Kyle Dugger),4.11,3.56,6.0,2023,88
1.0,9:37,2.0,10.0,NWE 22,0.0,0.0,"Jimmy Garoppolo pass incomplete intended for Jakobi Meyers. Penalty on Deatrich Wise: Defensive Offside, 5 yards (accepted) (no play)",3.56,4.29,6.0,2023,88
1.0,9:33,2.0,5.0,NWE 17,0.0,0.0,Tre Tucker left end for 4 yards (tackle by J.C. Jackson and Jahlani Tavai),4.29,4.39,6.0,2023,88
1.0,9:01,3.0,1.0,NWE 13,0.0,0.0,"Josh Jacobs for no gain. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",4.39,2.74,6.0,2023,88
1.0,8:37,3.0,11.0,NWE 23,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for DeAndre Carter,2.74,1.93,6.0,2023,88
1.0,8:33,4.0,11.0,NWE 23,0.0,0.0,"Daniel Carlson yard field goal good. Penalty on Sam Roberts: Leverage, 12 yards (accepted) (no play)",1.93,4.84,6.0,2023,88
1.0,8:29,1.0,10.0,NWE 11,0.0,0.0,Josh Jacobs right guard for 3 yards (tackle by Christian Barmore),4.84,4.7,6.0,2023,88
1.0,7:46,2.0,7.0,NWE 8,0.0,0.0,Josh Jacobs right tackle for 2 yards (tackle by Anfernee Jennings),4.7,4.21,6.0,2023,88
1.0,7:05,3.0,5.0,NWE 6,0.0,0.0,Jimmy Garoppolo pass incomplete short left,4.21,2.99,6.0,2023,88
1.0,6:57,4.0,5.0,NWE 6,0.0,3.0,Daniel Carlson 25 yard field goal good,2.99,3.0,6.0,2023,88
1.0,6:54,,,LVR 35,0.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
1.0,6:54,1.0,10.0,NWE 25,0.0,3.0,"Penalty on Vederian Lowe: False Start, 5 yards (accepted) (no play)",0.61,0.28,6.0,2023,88
1.0,6:54,1.0,15.0,NWE 20,0.0,3.0,"Mac Jones pass incomplete short left. Penalty on Trent Brown: Ineligible Downfield Pass, 5 yards (declined)",0.28,-0.61,6.0,2023,88
1.0,6:50,2.0,15.0,NWE 20,0.0,3.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,-0.61,-1.29,6.0,2023,88
1.0,6:46,3.0,15.0,NWE 20,0.0,3.0,Rhamondre Stevenson left tackle for 6 yards (tackle by Robert Spillane),-1.29,-1.63,6.0,2023,88
1.0,6:05,4.0,9.0,NWE 26,0.0,3.0,Bryce Baringer punts 34 yards out of bounds,-1.63,-1.6,6.0,2023,88
1.0,5:58,1.0,10.0,LVR 40,0.0,3.0,Josh Jacobs up the middle for 1 yard (tackle by Jabrill Peppers),1.6,1.19,6.0,2023,88
1.0,5:25,2.0,9.0,LVR 41,0.0,3.0,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 13 yards (tackle by Jonathan Jones),1.19,2.52,6.0,2023,88
1.0,4:48,1.0,10.0,NWE 46,0.0,3.0,"Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Jahlani Tavai). Penalty on Jahlani Tavai: Unnecessary Roughness / Defense, 15 yards (accepted)",2.52,4.31,6.0,2023,88
1.0,4:27,1.0,10.0,NWE 19,0.0,3.0,Josh Jacobs right end for 1 yard (tackle by Anfernee Jennings),4.31,3.88,6.0,2023,88
1.0,3:43,2.0,9.0,NWE 18,0.0,3.0,Jimmy Garoppolo pass short middle (defended by Jabrill Peppers) intended for Davante Adams is intercepted by Jahlani Tavai at NE-14 and returned for no gain (tackle by Andre James),3.88,0.28,6.0,2023,88
1.0,3:34,1.0,10.0,NWE 14,0.0,3.0,Rhamondre Stevenson up the middle for 2 yards (tackle by John Jenkins and Bilal Nichols),-0.28,-0.51,6.0,2023,88
1.0,3:02,2.0,8.0,NWE 16,0.0,3.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Tyree Wilson),-0.51,-1.04,6.0,2023,88
1.0,2:22,3.0,7.0,NWE 17,0.0,3.0,Mac Jones sacked by Adam Butler for -11 yards,-1.04,-2.49,6.0,2023,88
1.0,1:43,4.0,19.0,NWE 6,0.0,3.0,Bryce Baringer punts 53 yards out of bounds,-2.49,-1.66,6.0,2023,88
1.0,1:36,1.0,10.0,LVR 41,0.0,3.0,Jimmy Garoppolo pass complete short middle to Zamir White for 3 yards (tackle by Jahlani Tavai),1.66,1.53,6.0,2023,88
1.0,0:59,2.0,7.0,LVR 44,0.0,3.0,Zamir White up the middle for 1 yard (tackle by Ja'Whaun Bentley),1.53,0.96,6.0,2023,88
1.0,0:16,3.0,6.0,LVR 45,0.0,3.0,Jimmy Garoppolo pass complete deep left to Michael Mayer for 32 yards (tackle by Jonathan Jones),0.96,4.04,6.0,2023,88
2.0,15:00,1.0,10.0,NWE 23,0.0,3.0,Josh Jacobs right guard for -2 yards (tackle by Anfernee Jennings),4.04,3.23,6.0,2023,88
2.0,14:25,2.0,12.0,NWE 25,0.0,3.0,Jimmy Garoppolo pass complete short left to Austin Hooper for 7 yards (tackle by Jabrill Peppers),3.23,3.49,6.0,2023,88
2.0,13:47,3.0,5.0,NWE 18,0.0,3.0,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 6 yards (tackle by J.C. Jackson),3.49,4.78,6.0,2023,88
2.0,13:06,1.0,10.0,NWE 12,0.0,3.0,Josh Jacobs left tackle for no gain (tackle by Jahlani Tavai),4.78,4.1,6.0,2023,88
2.0,12:27,2.0,10.0,NWE 12,0.0,9.0,"Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 12 yards, touchdown",4.1,7.0,6.0,2023,88
2.0,12:22,,,NWE 15,0.0,10.0,Daniel Carlson kicks extra point good,0.0,0.0,6.0,2023,88
2.0,12:22,,,LVR 35,0.0,10.0,"Daniel Carlson kicks off 69 yards, returned by Ty Montgomery for 23 yards (tackle by Ameer Abdullah)",0.0,0.15,6.0,2023,88
2.0,12:18,1.0,10.0,NWE 19,0.0,10.0,Mac Jones pass complete short middle to DeVante Parker for 7 yards (tackle by Jakorian Bennett),0.15,0.61,6.0,2023,88
