Unnamed: 0,CAR,MIA,week,year,game_id
First Downs,21,23,6.0,2023,83
Rush-Yds-TDs,25-108-1,33-162-3,6.0,2023,83
Cmp-Att-Yd-TD-INT,24-39-224-1-0,21-32-262-3-1,6.0,2023,83
Sacked-Yards,4-36,0-0,6.0,2023,83
Net Pass Yards,188,262,6.0,2023,83
Total Yards,296,424,6.0,2023,83
Fumbles-Lost,1-0,1-0,6.0,2023,83
Turnovers,0,1,6.0,2023,83
Penalties-Yards,3-11,3-25,6.0,2023,83
Third Down Conv.,5-14,7-13,6.0,2023,83
Fourth Down Conv.,0-4,0-0,6.0,2023,83
Time of Possession,30:44,29:16,6.0,2023,83
