Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Christian McCaffrey,SFO,11,43,0,2.0,11,1.0,32,2.9,3,3.7,6.0,2023,81
Jordan Mason,SFO,5,27,1,1.0,11,2.2,16,3.2,2,2.5,6.0,2023,81
Brock Purdy,SFO,3,7,0,1.0,7,2.3,0,0.0,0,,6.0,2023,81
Ray-Ray McCloud,SFO,2,23,0,2.0,18,9.0,5,2.5,0,,6.0,2023,81
Elijah Mitchell,SFO,2,-3,0,,-4,-2.0,1,0.5,0,,6.0,2023,81
Deebo Samuel,SFO,2,11,0,,4,2.0,7,3.5,1,2.0,6.0,2023,81
Jerome Ford,CLE,17,84,0,3.0,24,1.4,60,3.5,6,2.8,6.0,2023,81
Kareem Hunt,CLE,12,47,1,4.0,27,2.3,20,1.7,0,,6.0,2023,81
P.J. Walker,CLE,3,1,0,1.0,-6,-2.0,7,2.3,1,3.0,6.0,2023,81
Marquise Goodwin,CLE,1,20,0,1.0,16,16.0,4,4.0,0,,6.0,2023,81
Elijah Moore,CLE,1,8,0,1.0,7,7.0,1,1.0,0,,6.0,2023,81
