Unnamed: 0,SFO,CLE,week,year,game_id
First Downs,15,18,6.0,2023,81
Rush-Yds-TDs,25-108-1,34-160-1,6.0,2023,81
Cmp-Att-Yd-TD-INT,12-27-125-1-1,18-34-192-0-2,6.0,2023,81
Sacked-Yards,3-18,2-18,6.0,2023,81
Net Pass Yards,107,174,6.0,2023,81
Total Yards,215,334,6.0,2023,81
Fumbles-Lost,1-0,1-0,6.0,2023,81
Turnovers,1,2,6.0,2023,81
Penalties-Yards,12-105,13-119,6.0,2023,81
Third Down Conv.,3-12,3-13,6.0,2023,81
Fourth Down Conv.,0-0,1-1,6.0,2023,81
Time of Possession,26:57,33:03,6.0,2023,81
