Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Commanders to receive the opening kickoff.",,,6.0,2023,82
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for no gain (tackle by Kaden Elliss),0.61,0.06,6.0,2023,82
1.0,14:25,2.0,10.0,WAS 25,0.0,0.0,Brian Robinson right tackle for 1 yard (tackle by Jeff Okudah and Nathan Landman),0.06,-0.49,6.0,2023,82
1.0,13:42,3.0,9.0,WAS 26,0.0,0.0,Sam Howell pass complete deep right to Curtis Samuel for 16 yards (tackle by DeMarcco Hellams),-0.49,1.73,6.0,2023,82
1.0,13:15,1.0,10.0,WAS 42,0.0,0.0,Sam Howell pass complete short left to Logan Thomas for 2 yards (tackle by Nathan Landman),1.73,1.46,6.0,2023,82
1.0,12:43,2.0,8.0,WAS 44,0.0,0.0,Sam Howell pass complete short left to Terry McLaurin for 10 yards (tackle by Nathan Landman),1.46,2.52,6.0,2023,82
1.0,12:02,1.0,10.0,ATL 46,0.0,0.0,Sam Howell pass incomplete deep left intended for Dyami Brown (defended by AJ Terrell),2.52,1.98,6.0,2023,82
1.0,11:56,2.0,10.0,ATL 46,0.0,0.0,Brian Robinson left tackle for 1 yard (tackle by Zach Harrison),1.98,1.42,6.0,2023,82
1.0,11:15,3.0,9.0,ATL 45,0.0,0.0,"Sam Howell pass complete deep right to Terry McLaurin for 22 yards. Penalty on Grady Jarrett: Neutral Zone Infraction, 5 yards (declined)",1.42,4.04,6.0,2023,82
1.0,10:50,1.0,10.0,ATL 23,0.0,0.0,Sam Howell sacked by Grady Jarrett for -7 yards,4.04,2.55,6.0,2023,82
1.0,10:09,2.0,17.0,ATL 30,0.0,0.0,Antonio Gibson right guard for 1 yard (tackle by Calais Campbell),2.55,2.01,6.0,2023,82
1.0,9:27,3.0,16.0,ATL 29,0.0,0.0,Sam Howell pass complete short middle to Curtis Samuel for 10 yards (tackle by Richie Grant),2.01,2.21,6.0,2023,82
