Quarter,Time,Down,ToGo,Location,DEN,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Broncos to receive the opening kickoff.",,,6.0,2023,79
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
1.0,15:00,1.0,10.0,DEN 25,0.0,0.0,Jaleel McLaughlin right tackle for 9 yards (tackle by Willie Gay),0.61,1.28,6.0,2023,79
1.0,14:27,2.0,1.0,DEN 34,0.0,0.0,Michael Burton right guard for 3 yards (tackle by L'Jarius Sneed and Willie Gay),1.28,1.4,6.0,2023,79
1.0,13:55,1.0,10.0,DEN 37,0.0,0.0,Russell Wilson pass complete short right to Courtland Sutton for 9 yards (tackle by Trent McDuffie),1.4,2.07,6.0,2023,79
1.0,13:19,2.0,1.0,DEN 46,0.0,0.0,Russell Wilson pass complete short right to Jerry Jeudy for -1 yards (tackle by Chamarri Conner),2.07,1.22,6.0,2023,79
1.0,12:21,3.0,2.0,DEN 45,0.0,0.0,Javonte Williams right tackle for 10 yards (tackle by Bryan Cook),1.22,2.59,6.0,2023,79
1.0,11:40,1.0,10.0,KAN 45,0.0,0.0,Javonte Williams up the middle for 3 yards (tackle by Chris Jones),2.59,2.45,6.0,2023,79
1.0,11:03,2.0,7.0,KAN 42,0.0,0.0,Jaleel McLaughlin right tackle for no gain (tackle by Willie Gay),2.45,1.75,6.0,2023,79
1.0,10:20,3.0,7.0,KAN 42,0.0,0.0,Russell Wilson pass complete short right to Adam Trautman for 4 yards (tackle by Justin Reid),1.75,0.72,6.0,2023,79
1.0,9:32,,,,,,Timeout #1 by Denver Broncos,,,6.0,2023,79
1.0,9:32,4.0,3.0,KAN 38,0.0,0.0,Russell Wilson sacked by Justin Reid for -3 yards,0.72,-1.66,6.0,2023,79
1.0,9:24,1.0,10.0,KAN 41,0.0,0.0,Isiah Pacheco right guard for 4 yards (tackle by Drew Sanders and Zach Allen),1.66,1.66,6.0,2023,79
1.0,8:51,2.0,6.0,KAN 45,0.0,0.0,Isiah Pacheco right tackle for 7 yards (tackle by Damarri Mathis and Jonathan Harris),1.66,2.39,6.0,2023,79
1.0,8:13,1.0,10.0,DEN 48,0.0,0.0,"Patrick Mahomes pass complete short left to Travis Kelce for 5 yards, lateral to Noah Gray for no gain (tackle by Patrick Surtain)",2.39,3.18,6.0,2023,79
1.0,7:29,1.0,10.0,DEN 36,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Josey Jewell),3.18,3.72,6.0,2023,79
1.0,6:54,2.0,2.0,DEN 28,0.0,0.0,Isiah Pacheco left end for 4 yards (tackle by Patrick Surtain),3.72,3.97,6.0,2023,79
1.0,6:27,1.0,10.0,DEN 24,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Kadarius Toney (defended by Ja'Quan McMillian),3.97,3.43,6.0,2023,79
1.0,6:24,2.0,10.0,DEN 24,0.0,0.0,Patrick Mahomes pass complete short middle to Rashee Rice for 7 yards (tackle by Ja'Quan McMillian),3.43,3.75,6.0,2023,79
1.0,5:46,3.0,3.0,DEN 17,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Kadarius Toney (defended by Mike Purcell),3.75,2.41,6.0,2023,79
1.0,5:44,4.0,3.0,DEN 17,0.0,3.0,Harrison Butker 35 yard field goal good,2.41,3.0,6.0,2023,79
