Quarter,Time,Down,ToGo,Location,NOR,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Texans to receive the opening kickoff.",,,6.0,2023,87
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 66 yards, returned by Devin Singletary for 18 yards (tackle by Nephi Sewell and Jordan Mims). Penalty on M.J. Stewart: Offensive Holding, 8 yards (accepted)",0.0,-0.38,6.0,2023,87
1.0,14:56,1.0,10.0,HOU 9,0.0,0.0,C.J. Stroud scrambles left end for 2 yards (tackle by Zack Baun),-0.38,-0.63,6.0,2023,87
1.0,14:23,2.0,8.0,HOU 11,0.0,0.0,Dameon Pierce left guard for 2 yards (tackle by Demario Davis and Khalen Saunders),-0.63,-0.95,6.0,2023,87
1.0,13:38,3.0,6.0,HOU 13,0.0,0.0,C.J. Stroud pass complete short left to Dalton Schultz for 19 yards (tackle by Jordan Howden),-0.95,1.07,6.0,2023,87
1.0,12:59,1.0,10.0,HOU 32,0.0,0.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz,1.07,0.53,6.0,2023,87
1.0,12:57,2.0,10.0,HOU 32,0.0,0.0,C.J. Stroud pass complete short middle to Nico Collins for 11 yards (tackle by Alontae Taylor),0.53,1.8,6.0,2023,87
1.0,12:13,1.0,10.0,HOU 43,0.0,0.0,Dameon Pierce left tackle for 5 yards (tackle by Nathan Shepherd and Zack Baun),1.8,1.93,6.0,2023,87
1.0,11:35,2.0,5.0,HOU 48,0.0,0.0,C.J. Stroud pass incomplete short left,1.93,1.22,6.0,2023,87
1.0,11:28,3.0,5.0,HOU 48,0.0,0.0,C.J. Stroud pass incomplete deep left intended for Noah Brown,1.22,-0.19,6.0,2023,87
1.0,11:21,4.0,5.0,HOU 48,0.0,0.0,"Cameron Johnston punts 52 yards, touchback.",-0.19,-0.28,6.0,2023,87
1.0,11:13,1.0,10.0,NOR 20,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for 15 yards (tackle by Blake Cashman and Henry To'oTo'o),0.28,1.27,6.0,2023,87
1.0,10:42,1.0,10.0,NOR 35,0.0,0.0,Alvin Kamara left end for -3 yards (tackle by Blake Cashman),1.27,0.32,6.0,2023,87
1.0,10:07,2.0,13.0,NOR 32,0.0,0.0,Derek Carr pass complete short right to Kendre Miller for 13 yards (tackle by Christian Harris),0.32,1.93,6.0,2023,87
1.0,9:24,1.0,10.0,NOR 45,0.0,0.0,Derek Carr pass complete short right to Foster Moreau for 4 yards (tackle by Blake Cashman),1.93,1.92,6.0,2023,87
1.0,8:51,2.0,6.0,NOR 49,0.0,0.0,Alvin Kamara left tackle for 13 yards (tackle by Jalen Pitre),1.92,3.05,6.0,2023,87
1.0,8:15,1.0,10.0,HOU 38,0.0,0.0,Kendre Miller right end for -4 yards (tackle by Kurt Hinish),3.05,1.97,6.0,2023,87
1.0,7:37,2.0,14.0,HOU 42,0.0,0.0,Derek Carr pass incomplete deep right intended for Chris Olave,1.97,1.29,6.0,2023,87
1.0,7:31,3.0,14.0,HOU 42,0.0,0.0,Derek Carr pass complete short left to Taysom Hill for 8 yards (tackle by Henry To'oTo'o and Jimmie Ward),1.29,1.07,6.0,2023,87
1.0,6:44,4.0,6.0,HOU 34,0.0,0.0,Blake Grupe 52 yard field goal no good,1.07,-1.73,6.0,2023,87
1.0,6:40,1.0,10.0,HOU 42,0.0,0.0,Devin Singletary left guard for 2 yards (tackle by Khalen Saunders),1.73,1.46,6.0,2023,87
