Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Alaric Jackson,T,57,100%,0,0%,6,22%,1,Rams,6.0,2023,89
Steve Avila,G,57,100%,0,0%,6,22%,1,Rams,6.0,2023,89
Rob Havenstein,T,57,100%,0,0%,6,22%,1,Rams,6.0,2023,89
Cooper Kupp,WR,57,100%,0,0%,0,0%,1,Rams,6.0,2023,89
Matthew Stafford,QB,57,100%,0,0%,0,0%,1,Rams,6.0,2023,89
Coleman Shelton,C,57,100%,0,0%,0,0%,1,Rams,6.0,2023,89
Puka Nacua,WR,55,96%,0,0%,0,0%,1,Rams,6.0,2023,89
Kevin Dotson,G,54,95%,0,0%,6,22%,1,Rams,6.0,2023,89
Tyler Higbee,TE,54,95%,0,0%,0,0%,1,Rams,6.0,2023,89
Tutu Atwell,WR,50,88%,0,0%,0,0%,1,Rams,6.0,2023,89
Kyren Williams,RB,47,82%,0,0%,0,0%,1,Rams,6.0,2023,89
Zach Evans,RB,6,11%,0,0%,8,30%,1,Rams,6.0,2023,89
Ronnie Rivers,RB,4,7%,0,0%,12,44%,1,Rams,6.0,2023,89
Davis Allen,TE,4,7%,0,0%,8,30%,1,Rams,6.0,2023,89
Austin Trammell,WR,4,7%,0,0%,7,26%,1,Rams,6.0,2023,89
Ben Skowronek,WR,3,5%,0,0%,18,67%,1,Rams,6.0,2023,89
Tremayne Anchrum,G,3,5%,0,0%,6,22%,1,Rams,6.0,2023,89
Brycen Hopkins,TE,1,2%,0,0%,0,0%,1,Rams,6.0,2023,89
Jordan Fuller,FS,0,0%,76,100%,4,15%,1,Rams,6.0,2023,89
Russ Yeast,SS,0,0%,76,100%,3,11%,1,Rams,6.0,2023,89
Derion Kendrick,CB,0,0%,68,89%,3,11%,1,Rams,6.0,2023,89
Ahkello Witherspoon,CB,0,0%,68,89%,0,0%,1,Rams,6.0,2023,89
Cobie Durant,CB,0,0%,66,87%,0,0%,1,Rams,6.0,2023,89
Byron Young,LB,0,0%,65,86%,0,0%,1,Rams,6.0,2023,89
Aaron Donald,DT,0,0%,61,80%,0,0%,1,Rams,6.0,2023,89
Ernest Jones,LB,0,0%,59,78%,3,11%,1,Rams,6.0,2023,89
Kobie Turner,NT,0,0%,56,74%,3,11%,1,Rams,6.0,2023,89
Michael Hoecht,LB,0,0%,54,71%,13,48%,1,Rams,6.0,2023,89
Christian Rozeboom,LB,0,0%,41,54%,11,41%,1,Rams,6.0,2023,89
Jonah Williams,DE,0,0%,34,45%,9,33%,1,Rams,6.0,2023,89
Quentin Lake,FS,0,0%,27,36%,14,52%,1,Rams,6.0,2023,89
Ochaun Mathis,LB,0,0%,18,24%,3,11%,1,Rams,6.0,2023,89
Zach VanValkenburg,LB,0,0%,15,20%,10,37%,1,Rams,6.0,2023,89
Cory Durden,DT,0,0%,11,14%,3,11%,1,Rams,6.0,2023,89
Marquise Copeland,DT,0,0%,11,14%,0,0%,1,Rams,6.0,2023,89
Jake Hummel,LB,0,0%,9,12%,21,78%,1,Rams,6.0,2023,89
Tre'Vius Tomlinson,CB,0,0%,8,11%,21,78%,1,Rams,6.0,2023,89
Duke Shelley,CB,0,0%,8,11%,18,67%,1,Rams,6.0,2023,89
Earnest Brown IV,DE,0,0%,4,5%,0,0%,1,Rams,6.0,2023,89
John Johnson,SS,0,0%,1,1%,11,41%,1,Rams,6.0,2023,89
Troy Reeder,LB,0,0%,0,0%,18,67%,1,Rams,6.0,2023,89
Ethan Evans,P,0,0%,0,0%,17,63%,1,Rams,6.0,2023,89
Alex Ward,LS,0,0%,0,0%,10,37%,1,Rams,6.0,2023,89
Demarcus Robinson,WR,0,0%,0,0%,7,26%,1,Rams,6.0,2023,89
Warren McClendon,T,0,0%,0,0%,6,22%,1,Rams,6.0,2023,89
Brett Maher,K,0,0%,0,0%,6,22%,1,Rams,6.0,2023,89
