Unnamed: 0,WAS,ATL,week,year,game_id
First Downs,13,25,6.0,2023,82
Rush-Yds-TDs,22-72-0,29-106-0,6.0,2023,82
Cmp-Att-Yd-TD-INT,14-23-151-3-0,28-47-307-2-3,6.0,2023,82
Sacked-Yards,5-30,3-11,6.0,2023,82
Net Pass Yards,121,296,6.0,2023,82
Total Yards,193,402,6.0,2023,82
Fumbles-Lost,0-0,0-0,6.0,2023,82
Turnovers,0,3,6.0,2023,82
Penalties-Yards,6-40,4-31,6.0,2023,82
Third Down Conv.,2-10,5-15,6.0,2023,82
Fourth Down Conv.,1-1,1-3,6.0,2023,82
Time of Possession,23:37,36:23,6.0,2023,82
