Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,6.0,2023,90
1.0,15:00,,,DET 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,90
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Rachaad White left tackle for 2 yards (tackle by Jerry Jacobs and Jack Campbell),0.61,0.33,6.0,2023,90
1.0,14:22,2.0,8.0,TAM 27,0.0,0.0,Baker Mayfield pass complete deep left to Chris Godwin for 16 yards (tackle by Kerby Joseph),0.33,1.8,6.0,2023,90
1.0,13:41,1.0,10.0,TAM 43,0.0,0.0,Rachaad White up the middle for 1 yard (tackle by Benito Jones),1.8,1.39,6.0,2023,90
1.0,13:15,2.0,9.0,TAM 44,0.0,0.0,Baker Mayfield pass incomplete short right intended for Trey Palmer,1.39,0.69,6.0,2023,90
1.0,13:12,3.0,9.0,TAM 44,0.0,0.0,Baker Mayfield pass incomplete short left intended for Rachaad White (defended by Alex Anzalone),0.69,-0.46,6.0,2023,90
1.0,13:08,4.0,9.0,TAM 44,0.0,0.0,"Jake Camarda punts 53 yards, returned by Kalif Raymond for 7 yards (tackle by Josh Hayes)",-0.46,0.38,6.0,2023,90
1.0,12:57,1.0,10.0,DET 10,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Antoine Winfield),-0.38,0.34,6.0,2023,90
1.0,12:22,1.0,10.0,DET 21,0.0,0.0,David Montgomery right guard for 6 yards (tackle by Ryan Neal and Calijah Kancey),0.34,0.61,6.0,2023,90
1.0,11:43,2.0,4.0,DET 27,0.0,0.0,Jared Goff pass complete short right to Sam LaPorta for 19 yards (tackle by Lavonte David),0.61,1.99,6.0,2023,90
1.0,11:11,1.0,10.0,DET 46,0.0,0.0,Jared Goff pass incomplete short left,1.99,1.45,6.0,2023,90
1.0,11:05,2.0,10.0,DET 46,0.0,0.0,Kalif Raymond up the middle for 3 yards (tackle by Lavonte David),1.45,1.16,6.0,2023,90
1.0,10:23,3.0,7.0,DET 49,0.0,0.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.16,-0.13,6.0,2023,90
1.0,10:19,4.0,7.0,DET 49,0.0,0.0,"Jack Fox punts 43 yards, fair catch by Deven Thompkins at TB-8",-0.13,0.38,6.0,2023,90
1.0,10:12,1.0,10.0,TAM 8,0.0,0.0,Baker Mayfield pass short left (defended by Isaiah Buggs) intended for Mike Evans is intercepted by Will Harris at TB-12 and returned for no gain (tackle by Deven Thompkins),-0.38,-4.78,6.0,2023,90
1.0,10:08,1.0,10.0,TAM 12,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Carlton Davis),4.78,4.64,6.0,2023,90
1.0,9:31,2.0,7.0,TAM 9,0.0,0.0,David Montgomery right end for -1 yards (tackle by Joe Tryon-Shoyinka and YaYa Diaby),4.64,3.48,6.0,2023,90
1.0,8:50,3.0,8.0,TAM 10,0.0,0.0,"David Montgomery right tackle for -2 yards. David Montgomery fumbles (forced by Vita Vea), recovered by David Montgomery at TB-12 (tackle by Vita Vea)",3.48,2.63,6.0,2023,90
1.0,8:13,4.0,10.0,TAM 12,3.0,0.0,Riley Patterson 30 yard field goal good,2.63,3.0,6.0,2023,90
1.0,8:09,,,DET 35,3.0,0.0,"Riley Patterson kicks off 65 yards, returned by Deven Thompkins for 16 yards (tackle by Derrick Barnes). Penalty on Kaevon Merriweather: Defensive Holding, 8 yards (accepted)",0.0,-0.38,6.0,2023,90
1.0,8:03,1.0,10.0,TAM 8,3.0,0.0,Rachaad White up the middle for 6 yards (tackle by Jack Campbell),-0.38,-0.32,6.0,2023,90
1.0,7:26,2.0,4.0,TAM 14,3.0,0.0,Baker Mayfield pass complete short right to Payne Durham for 8 yards (tackle by Jack Campbell and Isaiah Buggs),-0.32,0.41,6.0,2023,90
1.0,6:46,1.0,10.0,TAM 22,3.0,0.0,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Kerby Joseph),0.41,-0.13,6.0,2023,90
1.0,6:39,2.0,10.0,TAM 22,3.0,0.0,Baker Mayfield pass complete short left to Deven Thompkins for -2 yards (tackle by Jerry Jacobs),-0.13,-1.09,6.0,2023,90
1.0,6:00,3.0,12.0,TAM 20,3.0,0.0,Baker Mayfield scrambles left end for 3 yards (tackle by Aidan Hutchinson),-1.09,-1.83,6.0,2023,90
1.0,5:21,4.0,9.0,TAM 23,3.0,0.0,"Jake Camarda punts 42 yards, fair catch by Kalif Raymond at DET-35. Penalty on Ifeatu Melifonwu: Defensive Holding, 10 yards (accepted)",-1.83,-0.61,6.0,2023,90
1.0,5:18,1.0,10.0,DET 25,3.0,0.0,David Montgomery left end for 4 yards (tackle by Cam Gill),0.61,0.6,6.0,2023,90
1.0,4:38,2.0,6.0,DET 29,3.0,0.0,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Jamel Dean and Cam Gill),0.6,-0.1,6.0,2023,90
1.0,3:57,3.0,6.0,DET 29,3.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Ryan Neal),-0.1,1.66,6.0,2023,90
