Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Tristan Wirfs,T,56,100%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Cody Mauch,G,56,100%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Matt Feiler,G,56,100%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Luke Goedeke,G,56,100%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Baker Mayfield,QB,56,100%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Robert Hainsey,C,56,100%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Cade Otton,TE,54,96%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Chris Godwin,WR,47,84%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Mike Evans,WR,45,80%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Rachaad White,RB,44,79%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Trey Palmer,WR,37,66%,0,0%,0,0%,1,Buccaneers,6.0,2023,90
Ko Kieft,TE,14,25%,0,0%,16,64%,1,Buccaneers,6.0,2023,90
Deven Thompkins,WR,14,25%,0,0%,9,36%,1,Buccaneers,6.0,2023,90
Ke'Shawn Vaughn,RB,12,21%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Rakim Jarrett,WR,7,13%,0,0%,8,32%,1,Buccaneers,6.0,2023,90
Payne Durham,TE,6,11%,0,0%,7,28%,1,Buccaneers,6.0,2023,90
Jamel Dean,CB,0,0%,70,100%,5,20%,1,Buccaneers,6.0,2023,90
Lavonte David,LB,0,0%,70,100%,2,8%,1,Buccaneers,6.0,2023,90
Carlton Davis,CB,0,0%,70,100%,2,8%,1,Buccaneers,6.0,2023,90
Devin White,LB,0,0%,70,100%,2,8%,1,Buccaneers,6.0,2023,90
Antoine Winfield Jr.,FS,0,0%,70,100%,0,0%,1,Buccaneers,6.0,2023,90
Ryan Neal,SS,0,0%,67,96%,7,28%,1,Buccaneers,6.0,2023,90
Joe Tryon-Shoyinka,LB,0,0%,51,73%,2,8%,1,Buccaneers,6.0,2023,90
Shaquil Barrett,LB,0,0%,45,64%,2,8%,1,Buccaneers,6.0,2023,90
Vita Vea,NT,0,0%,44,63%,2,8%,1,Buccaneers,6.0,2023,90
Calijah Kancey,DE,0,0%,40,57%,2,8%,1,Buccaneers,6.0,2023,90
Christian Izien,SS,0,0%,37,53%,13,52%,1,Buccaneers,6.0,2023,90
Logan Hall,DE,0,0%,33,47%,5,20%,1,Buccaneers,6.0,2023,90
YaYa Diaby,LB,0,0%,30,43%,7,28%,1,Buccaneers,6.0,2023,90
Greg Gaines,NT,0,0%,24,34%,0,0%,1,Buccaneers,6.0,2023,90
Cam Gill,LB,0,0%,16,23%,21,84%,1,Buccaneers,6.0,2023,90
Mike Greene,DT,0,0%,16,23%,5,20%,1,Buccaneers,6.0,2023,90
William Gholston,DE,0,0%,15,21%,7,28%,1,Buccaneers,6.0,2023,90
Zyon McCollum,CB,0,0%,2,3%,21,84%,1,Buccaneers,6.0,2023,90
K.J. Britt,LB,0,0%,0,0%,21,84%,1,Buccaneers,6.0,2023,90
SirVocea Dennis,LB,0,0%,0,0%,21,84%,1,Buccaneers,6.0,2023,90
Josh Hayes,CB,0,0%,0,0%,21,84%,1,Buccaneers,6.0,2023,90
Kaevon Merriweather,FS,0,0%,0,0%,16,64%,1,Buccaneers,6.0,2023,90
Sean Tucker,RB,0,0%,0,0%,11,44%,1,Buccaneers,6.0,2023,90
Jake Camarda,P,0,0%,0,0%,11,44%,1,Buccaneers,6.0,2023,90
Zach Triner,LS,0,0%,0,0%,8,32%,1,Buccaneers,6.0,2023,90
Dee Delaney,CB,0,0%,0,0%,5,20%,1,Buccaneers,6.0,2023,90
Justin Skule,T,0,0%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
Chase McLaughlin,K,0,0%,0,0%,2,8%,1,Buccaneers,6.0,2023,90
