Quarter,Time,Tm,Detail,DEN,KAN,week,year,game_id
1.0,5:40,Chiefs,Harrison Butker 35 yard field goal,0,3,6.0,2023,79
2.0,3:06,Chiefs,Kadarius Toney 3 yard pass from Patrick Mahomes (Harrison Butker kick),0,10,6.0,2023,79
,0:00,Chiefs,Harrison Butker 60 yard field goal,0,13,6.0,2023,79
3.0,9:16,Chiefs,Harrison Butker 25 yard field goal,0,16,6.0,2023,79
4.0,6:07,Broncos,Courtland Sutton 11 yard pass from Russell Wilson (Javonte Williams run),8,16,6.0,2023,79
,1:55,Chiefs,Harrison Butker 52 yard field goal,8,19,6.0,2023,79
