Quarter,Time,Tm,Detail,IND,JAX,week,year,game_id
1.0,6:27,Colts,Matt Gay 28 yard field goal,3,0,6.0,2023,86
2.0,14:17,Jaguars,Travis Etienne 2 yard rush (Brandon McManus kick),3,7,6.0,2023,86
,14:01,Jaguars,Travis Etienne 22 yard rush (Brandon McManus kick),3,14,6.0,2023,86
,1:40,Jaguars,Christian Kirk 29 yard pass from Trevor Lawrence (Brandon McManus kick),3,21,6.0,2023,86
,0:06,Colts,Matt Gay 56 yard field goal,6,21,6.0,2023,86
3.0,10:44,Jaguars,Brandon McManus 48 yard field goal,6,24,6.0,2023,86
,3:51,Jaguars,Brenton Strange 10 yard pass from Trevor Lawrence (Brandon McManus kick),6,31,6.0,2023,86
4.0,14:14,Colts,Josh Downs 2 yard pass from Gardner Minshew II (Matt Gay kick),13,31,6.0,2023,86
,7:14,Colts,Zack Moss 3 yard rush (Matt Gay kick),20,31,6.0,2023,86
,4:50,Jaguars,Brandon McManus 49 yard field goal,20,34,6.0,2023,86
,3:00,Jaguars,Brandon McManus 51 yard field goal,20,37,6.0,2023,86
