Unnamed: 0,DET,TAM,week,year,game_id
First Downs,19,13,6.0,2023,90
Rush-Yds-TDs,22-40-0,16-46-0,6.0,2023,90
Cmp-Att-Yd-TD-INT,30-44-353-2-0,19-37-206-0-1,6.0,2023,90
Sacked-Yards,3-13,1-1,6.0,2023,90
Net Pass Yards,340,205,6.0,2023,90
Total Yards,380,251,6.0,2023,90
Fumbles-Lost,1-0,0-0,6.0,2023,90
Turnovers,0,1,6.0,2023,90
Penalties-Yards,5-35,5-33,6.0,2023,90
Third Down Conv.,9-16,2-12,6.0,2023,90
Fourth Down Conv.,0-0,1-2,6.0,2023,90
Time of Possession,36:30,23:30,6.0,2023,90
