Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,6.0,2023,86
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 60 yards,",0.0,0.61,6.0,2023,86
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Gardner Minshew pass complete short right to Josh Downs for 4 yards (tackle by Darious Williams),0.61,0.6,6.0,2023,86
1.0,14:23,2.0,6.0,IND 29,0.0,0.0,Gardner Minshew pass complete short middle to Alec Pierce for 6 yards (tackle by Rayshawn Jenkins),0.6,1.27,6.0,2023,86
1.0,13:40,1.0,10.0,IND 35,0.0,0.0,Gardner Minshew pass complete short right to Michael Pittman for 8 yards (tackle by Travon Walker),1.27,1.8,6.0,2023,86
1.0,13:00,2.0,2.0,IND 43,0.0,0.0,Gardner Minshew pass complete short right to Jonathan Taylor for 1 yard (tackle by Tyson Campbell),1.8,1.22,6.0,2023,86
1.0,12:32,3.0,1.0,IND 44,0.0,0.0,Jonathan Taylor up the middle for 4 yards (tackle by Rayshawn Jenkins and Josh Allen),1.22,2.13,6.0,2023,86
1.0,11:57,1.0,10.0,IND 48,0.0,0.0,Zack Moss for no gain (tackle by Devin Lloyd),2.13,1.58,6.0,2023,86
1.0,11:16,2.0,10.0,IND 48,0.0,0.0,Gardner Minshew pass complete short right to Josh Downs for 9 yards (tackle by Andre Cisco),1.58,2.08,6.0,2023,86
1.0,10:33,3.0,1.0,JAX 43,0.0,0.0,Zack Moss up the middle for no gain (tackle by Dawuane Smoot and Jeremiah Ledbetter),2.08,0.4,6.0,2023,86
1.0,9:48,4.0,1.0,JAX 43,0.0,0.0,Gardner Minshew pass complete short right to Zack Moss for 3 yards (tackle by Devin Lloyd),0.4,2.92,6.0,2023,86
1.0,9:11,1.0,10.0,JAX 40,0.0,0.0,Gardner Minshew pass complete short middle to Zack Moss for 7 yards (tackle by Travon Walker and Foyesade Oluokun),2.92,3.32,6.0,2023,86
1.0,8:29,2.0,3.0,JAX 33,0.0,0.0,Gardner Minshew pass complete short right to Zack Moss for 7 yards (tackle by Foyesade Oluokun and Tyson Campbell),3.32,3.84,6.0,2023,86
1.0,7:47,1.0,10.0,JAX 26,0.0,0.0,Gardner Minshew pass complete short left to Isaiah McKenzie for 11 yards (tackle by Darious Williams),3.84,4.58,6.0,2023,86
1.0,7:24,1.0,10.0,JAX 15,0.0,0.0,Jonathan Taylor left end for 5 yards (tackle by Josh Allen),4.58,4.84,6.0,2023,86
1.0,6:45,2.0,5.0,JAX 10,0.0,0.0,Gardner Minshew pass incomplete short left intended for Jonathan Taylor,4.84,4.0,6.0,2023,86
1.0,6:38,3.0,5.0,JAX 10,0.0,0.0,Gardner Minshew pass incomplete short right intended for Josh Downs (defended by Devin Lloyd),4.0,2.81,6.0,2023,86
1.0,6:32,4.0,5.0,JAX 10,3.0,0.0,Matt Gay 28 yard field goal good,2.81,3.0,6.0,2023,86
1.0,6:27,,,IND 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,86
1.0,6:27,1.0,10.0,JAX 25,3.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 7 yards (tackle by Kenny Moore),0.61,1.01,6.0,2023,86
1.0,5:57,2.0,3.0,JAX 32,3.0,0.0,Travis Etienne left end for 2 yards (tackle by Julius Brents),1.01,0.56,6.0,2023,86
1.0,5:22,3.0,1.0,JAX 34,3.0,0.0,Tank Bigsby for 2 yards (tackle by Shaquille Leonard and Kwity Paye),0.56,1.33,6.0,2023,86
1.0,4:52,1.0,10.0,JAX 36,3.0,0.0,Trevor Lawrence scrambles left end for 8 yards (tackle by Shaquille Leonard and Zaire Franklin),1.33,1.87,6.0,2023,86
1.0,4:09,2.0,2.0,JAX 44,3.0,0.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,1.87,1.16,6.0,2023,86
1.0,4:02,3.0,2.0,JAX 44,3.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 1 yard (tackle by Samson Ebukam),1.16,-0.39,6.0,2023,86
1.0,3:21,4.0,1.0,JAX 45,3.0,0.0,Travis Etienne left end for 7 yards (tackle by Zaire Franklin),-0.39,2.39,6.0,2023,86
1.0,2:47,1.0,10.0,IND 48,3.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 9 yards (tackle by Kenny Moore),2.39,3.06,6.0,2023,86
1.0,2:16,2.0,1.0,IND 39,3.0,0.0,Tank Bigsby left end for -3 yards (tackle by Taven Bryan and Tyquan Lewis),3.06,1.95,6.0,2023,86
1.0,1:38,3.0,4.0,IND 42,3.0,0.0,"Penalty on DeForest Buckner: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.95,3.12,6.0,2023,86
1.0,1:19,1.0,10.0,IND 37,3.0,0.0,Travis Etienne up the middle for 7 yards (tackle by Shaquille Leonard and Julius Brents),3.12,3.52,6.0,2023,86
1.0,0:42,2.0,3.0,IND 30,3.0,0.0,"Penalty on Dayo Odeyingbo: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.52,3.91,6.0,2023,86
1.0,0:23,1.0,10.0,IND 25,3.0,0.0,Travis Etienne left guard for 6 yards (tackle by Taven Bryan),3.91,4.2,6.0,2023,86
2.0,15:00,2.0,4.0,IND 19,3.0,0.0,Trevor Lawrence pass complete short right to Brenton Strange for 17 yards (tackle by Shaquille Leonard),4.2,6.74,6.0,2023,86
2.0,14:21,1.0,2.0,IND 2,3.0,6.0,"Travis Etienne up the middle for 2 yards, touchdown",6.74,7.0,6.0,2023,86
2.0,14:17,,,IND 15,3.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,6.0,2023,86
2.0,14:17,,,JAX 35,3.0,7.0,"Brandon McManus kicks off 65 yards,",0.0,0.61,6.0,2023,86
2.0,14:17,1.0,10.0,IND 25,3.0,7.0,"Gardner Minshew sacked by Josh Allen for -6 yards. Gardner Minshew fumbles (forced by Josh Allen), recovered by Angelo Blackson at IND-19 (tackle by Josh Allen)",0.61,-4.11,6.0,2023,86
2.0,14:10,1.0,10.0,IND 22,3.0,13.0,"Travis Etienne right end for 22 yards, touchdown",4.11,7.0,6.0,2023,86
2.0,14:01,,,IND 15,3.0,14.0,Brandon McManus kicks extra point good,0.0,0.0,6.0,2023,86
