Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,6.0,2023,85
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by DJ Turner),0.61,1.27,6.0,2023,85
1.0,14:29,1.0,10.0,SEA 35,0.0,0.0,Kenneth Walker right tackle for 9 yards (tackle by DJ Turner),1.27,1.94,6.0,2023,85
1.0,13:50,2.0,1.0,SEA 44,0.0,0.0,Zach Charbonnet right tackle for 3 yards (tackle by Nick Scott and B.J. Hill),1.94,2.06,6.0,2023,85
1.0,13:10,1.0,10.0,SEA 47,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for 15 yards (tackle by Cam Taylor-Britt),2.06,3.05,6.0,2023,85
1.0,12:35,1.0,10.0,CIN 38,0.0,0.0,Kenneth Walker left end for -3 yards (tackle by Trey Hendrickson),3.05,2.1,6.0,2023,85
1.0,11:55,2.0,13.0,CIN 41,0.0,0.0,Geno Smith pass complete short left to Noah Fant for 9 yards (tackle by DJ Turner),2.1,2.61,6.0,2023,85
1.0,11:16,3.0,4.0,CIN 32,0.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 12 yards (tackle by Germaine Pratt),2.61,4.24,6.0,2023,85
1.0,10:34,1.0,10.0,CIN 20,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Cam Taylor-Britt),4.24,4.45,6.0,2023,85
1.0,9:54,2.0,5.0,CIN 15,0.0,0.0,Kenneth Walker right guard for 6 yards (tackle by Cam Taylor-Britt),4.45,5.14,6.0,2023,85
1.0,9:11,1.0,9.0,CIN 9,0.0,0.0,Kenneth Walker left tackle for 6 yards (tackle by Zachary Carter and Daxton Hill),5.14,5.53,6.0,2023,85
