Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,6.0,2023,93
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 64 yards, returned by KaVontae Turpin for 21 yards (tackle by Amen Ogbongbemiga and AJ Finley)",0.0,0.41,6.0,2023,93
1.0,14:54,1.0,10.0,DAL 22,0.0,0.0,Tony Pollard left tackle for 1 yard (tackle by Tuli Tuipulotu),0.41,0.0,6.0,2023,93
1.0,14:37,2.0,9.0,DAL 23,0.0,0.0,Tony Pollard right tackle for 3 yards (tackle by Kenneth Murray and Derwin James),0.0,-0.29,6.0,2023,93
1.0,13:50,3.0,6.0,DAL 26,0.0,0.0,Dak Prescott sacked by Khalil Mack for -11 yards,-0.29,-2.44,6.0,2023,93
1.0,13:13,4.0,17.0,DAL 15,0.0,0.0,"Bryan Anger punts 53 yards, returned by Derius Davis for 26 yards (tackle by Bryan Anger)",-2.44,-2.79,6.0,2023,93
1.0,12:54,1.0,10.0,DAL 42,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 15 yards (tackle by Donovan Wilson),2.79,3.78,6.0,2023,93
1.0,12:23,1.0,10.0,DAL 27,0.0,0.0,"Justin Herbert pass complete short left to Josh Palmer for no gain, touchdown. Penalty on Zion Johnson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.78,3.45,6.0,2023,93
1.0,12:15,1.0,15.0,DAL 32,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 28 yards (tackle by Jayron Kearse),3.45,6.28,6.0,2023,93
1.0,11:49,1.0,4.0,DAL 4,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for no gain (tackle by Jayron Kearse),6.28,5.34,6.0,2023,93
1.0,11:15,2.0,4.0,DAL 4,0.0,0.0,Austin Ekeler right guard for 3 yards (tackle by Osa Odighizuwa and Jourdan Lewis),5.34,5.17,6.0,2023,93
1.0,10:34,3.0,1.0,DAL 1,0.0,6.0,"Justin Herbert pass complete short right to Keenan Allen for 1 yard, touchdown",5.17,7.0,6.0,2023,93
1.0,10:31,,,DAL 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,6.0,2023,93
1.0,10:31,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
1.0,10:31,1.0,10.0,DAL 25,0.0,7.0,Dak Prescott pass complete short right to CeeDee Lamb for 11 yards (tackle by Michael Davis),0.61,1.33,6.0,2023,93
1.0,9:56,1.0,10.0,DAL 36,0.0,7.0,Dak Prescott pass complete short middle to CeeDee Lamb for 23 yards (tackle by Dean Marlowe),1.33,2.85,6.0,2023,93
1.0,9:15,1.0,10.0,LAC 41,0.0,7.0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Michael Davis),2.85,2.31,6.0,2023,93
1.0,9:10,2.0,10.0,LAC 41,0.0,7.0,Dak Prescott pass complete short right to Tony Pollard for 7 yards (tackle by Eric Kendricks),2.31,2.54,6.0,2023,93
1.0,8:28,3.0,3.0,LAC 34,0.0,7.0,Tony Pollard left end for 7 yards (tackle by Dean Marlowe),2.54,3.78,6.0,2023,93
1.0,7:48,1.0,10.0,LAC 27,0.0,7.0,Tony Pollard right guard for 5 yards (tackle by Austin Johnson),3.78,3.91,6.0,2023,93
1.0,7:11,2.0,5.0,LAC 22,0.0,7.0,Dak Prescott pass incomplete deep right intended for Michael Gallup,3.91,3.2,6.0,2023,93
1.0,7:06,3.0,5.0,LAC 22,0.0,7.0,Dak Prescott scrambles up the middle for 4 yards (tackle by Khalil Mack and Eric Kendricks),3.2,2.4,6.0,2023,93
1.0,6:26,4.0,1.0,LAC 18,6.0,7.0,"Dak Prescott right tackle for 18 yards, touchdown",2.4,7.0,6.0,2023,93
