Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA,week,year,game_id
1.0,6:39,2.0,3.0,MIA 32,7.0,0.0,Raheem Mostert up the middle for 2 yards (tackle by Kamu Grugier-Hill and DeShawn Williams),1.01,0.56,6.0,2023,83
1.0,6:08,3.0,1.0,MIA 34,7.0,0.0,"Tua Tagovailoa aborted snap, recovered by Raheem Mostert at MIA-25 and returned for -1 yards (tackle by Kamu Grugier-Hill)",0.56,-1.77,6.0,2023,83
1.0,5:38,4.0,11.0,MIA 24,7.0,0.0,"Jake Bailey punts 60 yards, returned by Ihmir Smith-Marsette for 10 yards (tackle by Justin Bethel)",-1.77,-0.67,6.0,2023,83
1.0,5:27,1.0,10.0,CAR 26,7.0,0.0,Bryce Young pass complete short right to Tommy Tremble for 21 yards (tackle by David Long),0.67,2.06,6.0,2023,83
1.0,4:46,1.0,10.0,CAR 47,7.0,0.0,Bryce Young pass complete short right to Adam Thielen for 11 yards (tackle by Xavien Howard),2.06,2.79,6.0,2023,83
1.0,4:14,1.0,10.0,MIA 42,7.0,0.0,Laviska Shenault up the middle for 2 yards (tackle by Jerome Baker and David Long),2.79,2.51,6.0,2023,83
1.0,3:37,2.0,8.0,MIA 40,7.0,0.0,Raheem Blackshear up the middle for 9 yards (tackle by DeShon Elliott),2.51,3.51,6.0,2023,83
1.0,2:57,1.0,10.0,MIA 31,7.0,0.0,Chuba Hubbard right tackle for 4 yards (tackle by David Long and Xavien Howard),3.51,3.51,6.0,2023,83
1.0,2:15,2.0,6.0,MIA 27,7.0,0.0,Chuba Hubbard left guard for 7 yards (tackle by Jevon Holland and DeShon Elliott),3.51,4.24,6.0,2023,83
1.0,1:48,1.0,10.0,MIA 20,7.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by Raekwon Davis and David Long),4.24,4.37,6.0,2023,83
1.0,1:09,2.0,5.0,MIA 16,7.0,0.0,Raheem Blackshear left guard for 3 yards (tackle by Kader Kohou),4.37,4.1,6.0,2023,83
1.0,0:38,3.0,3.0,MIA 13,7.0,0.0,"Penalty on MIA: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.1,5.37,6.0,2023,83
1.0,0:13,1.0,8.0,MIA 8,7.0,0.0,Bryce Young pass incomplete short middle intended for Hayden Hurst (defended by Kader Kohou),5.37,4.57,6.0,2023,83
1.0,0:09,2.0,8.0,MIA 8,13.0,0.0,"Bryce Young pass complete short right to Adam Thielen for 8 yards, touchdown",4.57,7.0,6.0,2023,83
1.0,0:06,,,MIA 15,14.0,0.0,Eddy Pineiro kicks extra point good,0.0,0.0,6.0,2023,83
1.0,0:06,,,CAR 35,14.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
1.0,0:06,1.0,10.0,MIA 25,14.0,0.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 27 yards (tackle by Donte Jackson),0.61,2.39,6.0,2023,83
2.0,15:00,1.0,10.0,CAR 48,14.0,0.0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle (defended by Sam Franklin),2.39,1.85,6.0,2023,83
2.0,14:54,2.0,10.0,CAR 48,14.0,0.0,Raheem Mostert right end for 7 yards (tackle by Troy Hill and Frankie Luvu),1.85,2.08,6.0,2023,83
2.0,14:25,3.0,3.0,CAR 41,14.0,0.0,Tua Tagovailoa pass complete short left to Braxton Berrios for 10 yards (tackle by Frankie Luvu),2.08,3.51,6.0,2023,83
