Unnamed: 0,IND,JAX,week,year,game_id
First Downs,18,17,6.0,2023,86
Rush-Yds-TDs,17-44-1,29-85-2,6.0,2023,86
Cmp-Att-Yd-TD-INT,33-55-329-1-3,20-30-181-2-1,6.0,2023,86
Sacked-Yards,3-19,3-33,6.0,2023,86
Net Pass Yards,310,148,6.0,2023,86
Total Yards,354,233,6.0,2023,86
Fumbles-Lost,1-1,0-0,6.0,2023,86
Turnovers,4,1,6.0,2023,86
Penalties-Yards,6-46,5-25,6.0,2023,86
Third Down Conv.,6-17,4-14,6.0,2023,86
Fourth Down Conv.,3-6,1-1,6.0,2023,86
Time of Possession,31:19,28:41,6.0,2023,86
