Quarter,Time,Tm,Detail,PHI,NYJ,week,year,game_id
1.0,3:04,Eagles,Jalen Hurts 3 yard rush (Jake Elliott kick),7,0,6.0,2023,91
2.0,13:12,Jets,Greg Zuerlein 43 yard field goal,7,3,6.0,2023,91
,5:32,Eagles,D'Andre Swift 9 yard pass from Jalen Hurts (Jake Elliott kick),14,3,6.0,2023,91
,2:30,Jets,Greg Zuerlein 42 yard field goal,14,6,6.0,2023,91
,0:00,Jets,Greg Zuerlein 35 yard field goal,14,9,6.0,2023,91
3.0,0:45,Jets,Greg Zuerlein 38 yard field goal,14,12,6.0,2023,91
4.0,1:46,Jets,Breece Hall 8 yard rush (Randall Cobb pass from Zach Wilson),14,20,6.0,2023,91
