Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Mac Jones,NWE,1,-1,0,-1,6.0,2023,88
Malik Cunningham,NWE,0,0,0,0,6.0,2023,88
Rhamondre Stevenson,NWE,10,46,1,15,6.0,2023,88
Ezekiel Elliott,NWE,7,34,1,8,6.0,2023,88
Kendrick Bourne,NWE,1,4,0,4,6.0,2023,88
Mike Gesicki,NWE,0,0,0,0,6.0,2023,88
Pharaoh Brown,NWE,0,0,0,0,6.0,2023,88
Ty Montgomery,NWE,0,0,0,0,6.0,2023,88
Hunter Henry,NWE,0,0,0,0,6.0,2023,88
DeVante Parker,NWE,0,0,0,0,6.0,2023,88
Tyquan Thornton,NWE,0,0,0,0,6.0,2023,88
Jimmy Garoppolo,LVR,2,4,0,2,6.0,2023,88
Brian Hoyer,LVR,3,-3,0,-1,6.0,2023,88
Josh Jacobs,LVR,25,77,0,18,6.0,2023,88
Tre Tucker,LVR,1,4,0,4,6.0,2023,88
Zamir White,LVR,2,2,0,1,6.0,2023,88
Michael Mayer,LVR,0,0,0,0,6.0,2023,88
Jakobi Meyers,LVR,0,0,0,0,6.0,2023,88
Davante Adams,LVR,0,0,0,0,6.0,2023,88
Austin Hooper,LVR,0,0,0,0,6.0,2023,88
DeAndre Carter,LVR,0,0,0,0,6.0,2023,88
Ameer Abdullah,LVR,0,0,0,0,6.0,2023,88
