Unnamed: 0,NYG,BUF,week,year,game_id
First Downs,20,22,6.0,2023,92
Rush-Yds-TDs,34-132-0,29-128-0,6.0,2023,92
Cmp-Att-Yd-TD-INT,24-36-200-0-0,19-30-169-2-1,6.0,2023,92
Sacked-Yards,3-15,0-0,6.0,2023,92
Net Pass Yards,185,169,6.0,2023,92
Total Yards,317,297,6.0,2023,92
Fumbles-Lost,1-0,1-1,6.0,2023,92
Turnovers,0,2,6.0,2023,92
Penalties-Yards,9-65,7-51,6.0,2023,92
Third Down Conv.,10-19,6-12,6.0,2023,92
Fourth Down Conv.,1-2,0-0,6.0,2023,92
Time of Possession,31:24,28:36,6.0,2023,92
