Quarter,Time,Down,ToGo,Location,NYG,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Bills to receive the opening kickoff.",,,6.0,2023,92
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.. Penalty on Tyrel Dodson: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on Cam Brown: Unnecessary Roughness / Defense, 15 yards (offset)",0.0,0.61,6.0,2023,92
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by Adoree' Jackson),0.61,0.47,6.0,2023,92
1.0,14:23,2.0,7.0,BUF 28,0.0,0.0,Josh Allen pass incomplete short left intended for Stefon Diggs,0.47,-0.23,6.0,2023,92
1.0,14:19,3.0,7.0,BUF 28,0.0,0.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,-0.23,-1.5,6.0,2023,92
1.0,14:13,4.0,7.0,BUF 28,0.0,0.0,"Sam Martin punts 52 yards, returned by Eric Gray for 4 yards (tackle by Cameron Lewis)",-1.5,-0.54,6.0,2023,92
1.0,14:03,1.0,10.0,NYG 24,0.0,0.0,Tyrod Taylor pass complete short right to Darius Slayton for 5 yards (tackle by Christian Benford),0.54,0.67,6.0,2023,92
1.0,13:27,2.0,5.0,NYG 29,0.0,0.0,Saquon Barkley right guard for 4 yards (tackle by Jordan Poyer),0.67,0.5,6.0,2023,92
1.0,12:51,3.0,1.0,NYG 33,0.0,0.0,Saquon Barkley right tackle for -2 yards (tackle by Shaq Lawson),0.5,-1.31,6.0,2023,92
1.0,12:21,4.0,3.0,NYG 31,0.0,0.0,"Jamie Gillan punts 54 yards, fair catch by Deonte Harty at BUF-15",-1.31,0.22,6.0,2023,92
1.0,12:12,1.0,10.0,BUF 15,0.0,0.0,Latavius Murray left guard for 2 yards (tackle by Leonard Williams),-0.22,-0.44,6.0,2023,92
1.0,11:37,2.0,8.0,BUF 17,0.0,0.0,Josh Allen pass complete short middle to Stefon Diggs for 18 yards (tackle by Dane Belton),-0.44,1.27,6.0,2023,92
1.0,10:59,1.0,10.0,BUF 35,0.0,0.0,James Cook left end for 2 yards (tackle by Jihad Ward),1.27,0.99,6.0,2023,92
1.0,10:20,2.0,8.0,BUF 37,0.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Deonte Banks),0.99,1.99,6.0,2023,92
1.0,9:40,1.0,10.0,BUF 46,0.0,0.0,Josh Allen pass incomplete deep right,1.99,1.45,6.0,2023,92
1.0,9:31,2.0,10.0,BUF 46,0.0,0.0,"Josh Allen pass complete short right to Gabriel Davis for 9 yards. Gabriel Davis fumbles (forced by Bobby Okereke) (tackle by Adoree' Jackson), recovered by Micah McFadden at NYG-44",1.45,-1.86,6.0,2023,92
1.0,9:20,1.0,10.0,NYG 44,0.0,0.0,Saquon Barkley left end for 3 yards (tackle by Leonard Floyd),1.86,1.72,6.0,2023,92
1.0,8:44,2.0,7.0,NYG 47,0.0,0.0,Tyrod Taylor pass incomplete short right,1.72,1.03,6.0,2023,92
1.0,8:38,3.0,7.0,NYG 47,0.0,0.0,Tyrod Taylor pass complete deep right to Darius Slayton for 27 yards (tackle by Kaiir Elam),1.03,3.84,6.0,2023,92
1.0,8:05,1.0,10.0,BUF 26,0.0,0.0,Matt Breida up the middle for 6 yards (tackle by Dorian Williams and Poona Ford),3.84,4.11,6.0,2023,92
1.0,7:31,2.0,4.0,BUF 20,0.0,0.0,Saquon Barkley up the middle for no gain (tackle by Taron Johnson and A.J. Epenesa),4.11,3.4,6.0,2023,92
1.0,6:51,3.0,4.0,BUF 20,0.0,0.0,Tyrod Taylor pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Taron Johnson),3.4,4.65,6.0,2023,92
