Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Ravens to receive the opening kickoff.",,,6.0,2023,80
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, returned by Devin Duvernay for 27 yards (tackle by Kevin Rader)",0.0,0.74,6.0,2023,80
1.0,14:55,1.0,10.0,BAL 27,0.0,0.0,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Jack Gibbens),0.74,0.47,6.0,2023,80
1.0,14:22,2.0,8.0,BAL 29,0.0,0.0,Justice Hill right guard for 4 yards (tackle by Azeez Al-Shaair),0.47,0.3,6.0,2023,80
1.0,13:37,3.0,4.0,BAL 33,0.0,0.0,Lamar Jackson pass complete short left to Nelson Agholor for 21 yards (tackle by Sean Murphy-Bunting),0.3,2.52,6.0,2023,80
1.0,12:55,1.0,10.0,TEN 46,0.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 14 yards,2.52,3.45,6.0,2023,80
1.0,12:21,1.0,10.0,TEN 32,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 8 yards (tackle by Kristian Fulton),3.45,3.98,6.0,2023,80
1.0,11:42,2.0,2.0,TEN 24,0.0,0.0,Gus Edwards left guard for 1 yard (tackle by Jack Gibbens),3.98,3.4,6.0,2023,80
1.0,11:15,3.0,1.0,TEN 23,0.0,0.0,Gus Edwards left guard for no gain (tackle by Jack Gibbens and Jaleel Johnson),3.4,2.08,6.0,2023,80
1.0,10:30,4.0,1.0,TEN 23,3.0,0.0,Justin Tucker 41 yard field goal good,2.08,3.0,6.0,2023,80
1.0,10:26,,,BAL 35,3.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,80
1.0,10:26,1.0,10.0,TEN 25,3.0,0.0,Ryan Tannehill pass complete short right to Derrick Henry for 7 yards (tackle by Patrick Queen),0.61,1.01,6.0,2023,80
1.0,9:52,2.0,3.0,TEN 32,3.0,0.0,Derrick Henry right tackle for 1 yard (tackle by Marlon Humphrey),1.01,0.43,6.0,2023,80
1.0,9:12,3.0,2.0,TEN 33,3.0,0.0,"Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins. Penalty on Marlon Humphrey: Defensive Pass Interference, 7 yards (accepted) (no play)",0.43,1.6,6.0,2023,80
1.0,9:08,1.0,10.0,TEN 40,3.0,0.0,Derrick Henry right guard for 1 yard (tackle by Broderick Washington),1.6,1.19,6.0,2023,80
1.0,8:30,2.0,9.0,TEN 41,3.0,0.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 10 yards (tackle by Brandon Stephens),1.19,2.32,6.0,2023,80
1.0,7:47,1.0,10.0,BAL 49,3.0,0.0,Ryan Tannehill pass complete short right to Josh Whyle for 11 yards (tackle by Kyle Hamilton and Roquan Smith),2.32,3.05,6.0,2023,80
1.0,7:16,1.0,10.0,BAL 38,3.0,0.0,"Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins. Penalty on Marcus Williams: Defensive Pass Interference, 22 yards (accepted) (no play)",3.05,4.51,6.0,2023,80
1.0,7:10,1.0,10.0,BAL 16,3.0,0.0,Derrick Henry left tackle for 2 yards (tackle by Justin Madubuike),4.51,4.21,6.0,2023,80
1.0,6:25,2.0,8.0,BAL 14,3.0,0.0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Brandon Stephens),4.21,3.37,6.0,2023,80
1.0,6:19,3.0,8.0,BAL 14,3.0,0.0,Ryan Tannehill pass complete short left to Chris Moore for 6 yards (tackle by Patrick Queen),3.37,2.99,6.0,2023,80
1.0,5:38,4.0,2.0,BAL 8,3.0,3.0,Nick Folk 26 yard field goal good,2.99,3.0,6.0,2023,80
1.0,5:34,,,TEN 35,3.0,3.0,"Nick Folk kicks off 65 yards, returned by Devin Duvernay for 14 yards (tackle by Monty Rice)",0.0,-0.28,6.0,2023,80
1.0,5:29,1.0,10.0,BAL 14,3.0,3.0,Gus Edwards left end for 3 yards (tackle by Azeez Al-Shaair and Kristian Fulton),-0.28,-0.37,6.0,2023,80
1.0,4:51,2.0,7.0,BAL 17,3.0,3.0,Lamar Jackson pass complete short left to Odell Beckham for 2 yards (tackle by Kristian Fulton),-0.37,-0.8,6.0,2023,80
1.0,4:06,3.0,5.0,BAL 19,3.0,3.0,Lamar Jackson pass complete short left to Odell Beckham for 32 yards (tackle by Kevin Byard),-0.8,2.32,6.0,2023,80
1.0,3:25,1.0,10.0,TEN 49,3.0,3.0,Lamar Jackson pass complete short right to Nelson Agholor for 19 yards (tackle by Kevin Byard),2.32,3.58,6.0,2023,80
1.0,2:41,1.0,10.0,TEN 30,3.0,3.0,Gus Edwards left tackle for 6 yards (tackle by Jaleel Johnson and Kevin Byard),3.58,3.84,6.0,2023,80
1.0,2:17,2.0,4.0,TEN 24,3.0,3.0,Gus Edwards right end for 8 yards (tackle by Jeffery Simmons),3.84,4.51,6.0,2023,80
1.0,1:38,1.0,10.0,TEN 16,3.0,3.0,Gus Edwards left end for 5 yards (tackle by Azeez Al-Shaair),4.51,4.76,6.0,2023,80
1.0,0:52,2.0,5.0,TEN 11,3.0,3.0,Justice Hill right tackle for 1 yard (tackle by Jack Gibbens and Naquan Jones),4.76,4.17,6.0,2023,80
