Unnamed: 0,BAL,TEN,week,year,game_id
First Downs,20,17,6.0,2023,80
Rush-Yds-TDs,39-139-0,19-129-1,6.0,2023,80
Cmp-Att-Yd-TD-INT,21-30-223-1-1,12-21-150-0-1,6.0,2023,80
Sacked-Yards,1-2,6-46,6.0,2023,80
Net Pass Yards,221,104,6.0,2023,80
Total Yards,360,233,6.0,2023,80
Fumbles-Lost,0-0,1-1,6.0,2023,80
Turnovers,1,2,6.0,2023,80
Penalties-Yards,9-88,6-45,6.0,2023,80
Third Down Conv.,8-16,1-9,6.0,2023,80
Fourth Down Conv.,0-0,0-0,6.0,2023,80
Time of Possession,35:42,24:18,6.0,2023,80
