Quarter,Time,Tm,Detail,SFO,CLE,week,year,game_id
1.0,12:16,49ers,Christian McCaffrey 13 yard pass from Brock Purdy (Jake Moody kick),7,0,6.0,2023,81
2.0,7:54,49ers,Jake Moody 25 yard field goal,10,0,6.0,2023,81
,5:38,Browns,Kareem Hunt 16 yard rush (Dustin Hopkins kick),10,7,6.0,2023,81
3.0,11:09,Browns,Dustin Hopkins 42 yard field goal,10,10,6.0,2023,81
,2:59,Browns,Dustin Hopkins 46 yard field goal,10,13,6.0,2023,81
4.0,10:58,49ers,Jordan Mason 8 yard rush (Jake Moody kick),17,13,6.0,2023,81
,3:21,Browns,Dustin Hopkins 50 yard field goal,17,16,6.0,2023,81
,1:40,Browns,Dustin Hopkins 29 yard field goal,17,19,6.0,2023,81
