Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, 49ers to receive the opening kickoff.",,,6.0,2023,81
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 66 yards, returned by Ray-Ray McCloud for 17 yards (tackle by Pierre Strong)",0.0,-0.14,6.0,2023,81
1.0,14:55,1.0,10.0,SFO 16,0.0,0.0,Deebo Samuel right end for 8 yards (tackle by Juan Thornhill),-0.14,0.55,6.0,2023,81
1.0,14:14,2.0,2.0,SFO 24,0.0,0.0,"Christian McCaffrey right tackle for 27 yards (tackle by Greg Newsome). Penalty on Za'Darius Smith: Defensive Offside, 5 yards (declined) . Penalty on Greg Newsome: Unnecessary Roughness / Defense, 15 yards (accepted)",0.55,3.31,6.0,2023,81
1.0,13:47,1.0,10.0,CLE 34,0.0,0.0,Christian McCaffrey right guard for 5 yards (tackle by Grant Delpit and Juan Thornhill),3.31,3.45,6.0,2023,81
1.0,13:11,2.0,5.0,CLE 29,0.0,0.0,"Christian McCaffrey right tackle for no gain (tackle by Za'Darius Smith). Penalty on Za'Darius Smith: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.45,4.65,6.0,2023,81
1.0,12:59,1.0,10.0,CLE 14,0.0,0.0,Jordan Mason left tackle for 1 yard (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),4.65,4.16,6.0,2023,81
1.0,12:23,2.0,9.0,CLE 13,6.0,0.0,"Brock Purdy pass complete short left to Christian McCaffrey for 13 yards, touchdown",4.16,7.0,6.0,2023,81
1.0,12:16,,,CLE 15,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,6.0,2023,81
1.0,12:16,,,SFO 35,7.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,81
1.0,12:16,1.0,10.0,CLE 25,7.0,0.0,Kareem Hunt right guard for no gain (tackle by Clelin Ferrell and Isaiah Oliver),0.61,0.06,6.0,2023,81
1.0,11:36,2.0,10.0,CLE 25,7.0,0.0,P.J. Walker pass complete short left to Kareem Hunt for 11 yards (tackle by Javon Hargrave),0.06,1.33,6.0,2023,81
1.0,10:55,1.0,10.0,CLE 36,7.0,0.0,P.J. Walker pass complete short right to Elijah Moore for 9 yards (tackle by Fred Warner),1.33,2.01,6.0,2023,81
1.0,10:25,2.0,1.0,CLE 45,7.0,0.0,Kareem Hunt right guard for 6 yards (tackle by Charvarius Ward and Isaiah Oliver),2.01,2.32,6.0,2023,81
1.0,9:40,1.0,10.0,SFO 49,7.0,0.0,Jerome Ford left tackle for 6 yards (tackle by Javon Kinlaw and Oren Burks),2.32,2.52,6.0,2023,81
