0,1,week,year,game_id
Won Toss,Colts,6.0,2023,86
Roof,outdoors,6.0,2023,86
Surface,grass,6.0,2023,86
Duration,2:58,6.0,2023,86
Attendance,64851,6.0,2023,86
Vegas Line,Jacksonville Jaguars -4.5,6.0,2023,86
Over/Under,43.5 (over),6.0,2023,86
