Quarter,Time,Tm,Detail,BAL,TEN,week,year,game_id
1.0,10:26,Ravens,Justin Tucker 41 yard field goal,3,0,6.0,2023,80
,5:34,Titans,Nick Folk 26 yard field goal,3,3,6.0,2023,80
,0:04,Ravens,Justin Tucker 28 yard field goal,6,3,6.0,2023,80
2.0,10:13,Ravens,Justin Tucker 23 yard field goal,9,3,6.0,2023,80
,3:28,Ravens,Zay Flowers 10 yard pass from Lamar Jackson (Justin Tucker kick failed),15,3,6.0,2023,80
,0:00,Ravens,Justin Tucker 29 yard field goal,18,3,6.0,2023,80
3.0,9:24,Titans,Nick Folk 27 yard field goal,18,6,6.0,2023,80
,8:24,Titans,Derrick Henry 15 yard rush (Nick Folk kick),18,13,6.0,2023,80
4.0,12:49,Ravens,Justin Tucker 20 yard field goal,21,13,6.0,2023,80
,4:16,Ravens,Justin Tucker 36 yard field goal,24,13,6.0,2023,80
,0:38,Titans,Nick Folk 38 yard field goal,24,16,6.0,2023,80
