Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Dak Prescott,DAL,7,40,1,18,6.0,2023,93
Tony Pollard,DAL,15,30,0,7,6.0,2023,93
Brandin Cooks,DAL,1,14,0,14,6.0,2023,93
Rico Dowdle,DAL,3,12,0,7,6.0,2023,93
CeeDee Lamb,DAL,0,0,0,0,6.0,2023,93
Michael Gallup,DAL,0,0,0,0,6.0,2023,93
Jake Ferguson,DAL,0,0,0,0,6.0,2023,93
Sean McKeon,DAL,0,0,0,0,6.0,2023,93
Justin Herbert,LAC,6,20,0,9,6.0,2023,93
Austin Ekeler,LAC,14,27,0,6,6.0,2023,93
Gerald Everett,LAC,1,2,0,2,6.0,2023,93
Joshua Kelley,LAC,1,2,0,2,6.0,2023,93
Isaiah Spiller,LAC,1,2,0,2,6.0,2023,93
Keenan Allen,LAC,0,0,0,0,6.0,2023,93
Josh Palmer,LAC,0,0,0,0,6.0,2023,93
Donald Parham,LAC,0,0,0,0,6.0,2023,93
Quentin Johnston,LAC,0,0,0,0,6.0,2023,93
