Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,6.0,2023,89
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,89
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Keaontay Ingram right tackle for no gain (tackle by Kobie Turner and Aaron Donald),0.61,0.06,6.0,2023,89
1.0,14:21,2.0,10.0,ARI 25,0.0,0.0,Joshua Dobbs pass complete short middle to Marquise Brown for no gain (tackle by Christian Rozeboom),0.06,-0.62,6.0,2023,89
1.0,13:42,3.0,10.0,ARI 25,0.0,0.0,Joshua Dobbs scrambles right end for 24 yards (tackle by Ernest Jones),-0.62,2.19,6.0,2023,89
1.0,13:01,1.0,10.0,ARI 49,0.0,0.0,Keaontay Ingram right tackle for 12 yards (tackle by Ahkello Witherspoon),2.19,2.98,6.0,2023,89
1.0,12:23,1.0,10.0,LAR 39,0.0,0.0,Joshua Dobbs pass incomplete deep right,2.98,2.44,6.0,2023,89
1.0,12:17,2.0,10.0,LAR 39,0.0,0.0,Joshua Dobbs pass complete short right to Keaontay Ingram for 2 yards (tackle by Ahkello Witherspoon),2.44,2.02,6.0,2023,89
1.0,11:35,3.0,8.0,LAR 37,0.0,0.0,Joshua Dobbs pass incomplete deep right intended for Marquise Brown (defended by Ahkello Witherspoon),2.02,0.79,6.0,2023,89
1.0,11:30,4.0,8.0,LAR 37,3.0,0.0,Matt Prater 55 yard field goal good,0.79,3.0,6.0,2023,89
1.0,11:25,,,ARI 35,3.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,89
1.0,11:25,1.0,10.0,LAR 25,3.0,0.0,Kyren Williams left tackle for 5 yards (tackle by Josh Woods and Andre Chachere),0.61,0.74,6.0,2023,89
1.0,10:44,2.0,5.0,LAR 30,3.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 15 yards (tackle by Kei'Trel Clark),0.74,1.93,6.0,2023,89
1.0,10:06,1.0,10.0,LAR 45,3.0,0.0,Matthew Stafford pass incomplete short right,1.93,1.38,6.0,2023,89
1.0,10:01,2.0,10.0,LAR 45,3.0,0.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,1.38,0.7,6.0,2023,89
1.0,9:58,3.0,10.0,LAR 45,3.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Antonio Hamilton),0.7,-0.06,6.0,2023,89
1.0,9:16,4.0,5.0,LAR 50,3.0,0.0,"Ethan Evans punts 43 yards, fair catch by Greg Dortch at ARI-7",-0.06,0.38,6.0,2023,89
1.0,9:09,1.0,10.0,ARI 7,3.0,0.0,Damien Williams up the middle for 4 yards (tackle by Zach VanValkenburg and Kobie Turner),-0.38,-0.56,6.0,2023,89
1.0,8:33,2.0,7.0,ARI 11,3.0,0.0,Damien Williams up the middle for 2 yards (tackle by Ernest Jones and Michael Hoecht),-0.56,-0.72,6.0,2023,89
1.0,7:48,3.0,4.0,ARI 13,3.0,0.0,Joshua Dobbs pass complete deep right to Michael Wilson for 17 yards (tackle by Cobie Durant),-0.72,0.94,6.0,2023,89
1.0,7:19,1.0,10.0,ARI 30,3.0,0.0,Emari Demercado right tackle for 5 yards (tackle by Aaron Donald and Cobie Durant),0.94,1.07,6.0,2023,89
1.0,6:42,2.0,5.0,ARI 35,3.0,0.0,Joshua Dobbs pass complete short right to Rondale Moore for 7 yards (tackle by Jordan Fuller),1.07,1.73,6.0,2023,89
1.0,6:03,1.0,10.0,ARI 42,3.0,0.0,Damien Williams up the middle for -1 yards (tackle by Aaron Donald),1.73,1.05,6.0,2023,89
1.0,5:25,2.0,11.0,ARI 41,3.0,0.0,Damien Williams right tackle for 2 yards (tackle by Kobie Turner),1.05,0.63,6.0,2023,89
1.0,4:45,3.0,9.0,ARI 43,3.0,0.0,Joshua Dobbs pass complete short left to Rondale Moore for 9 yards (tackle by Jordan Fuller),0.63,2.39,6.0,2023,89
1.0,4:05,1.0,10.0,LAR 48,3.0,0.0,Joshua Dobbs pass incomplete short middle intended for Trey McBride (defended by Cobie Durant),2.39,1.85,6.0,2023,89
