Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1.0,Philadelphia Eagles,17.0,337.0,542.0,62.2,2961.0,22.0,4.1,13.0,90.0,2.4,6.0,5.8,9.7,174.2,82.5,41.0,305.0,87.0,81.0,7.0,5.1,4.8,23.56
2.0,Tennessee Titans,17.0,314.0,473.0,66.4,3014.0,27.0,5.7,11.0,53.0,2.3,6.8,6.9,10.2,177.3,95.1,32.0,202.0,67.0,92.0,6.3,6.0,6.1,-89.7
3.0,Washington Commanders,17.0,307.0,496.0,61.9,3221.0,25.0,5.0,7.0,60.0,1.4,7.0,7.4,11.4,189.5,93.9,43.0,271.0,88.0,86.0,8.0,6.0,6.3,-126.77
4.0,New York Jets,17.0,327.0,521.0,62.8,3275.0,18.0,3.5,7.0,57.0,1.3,6.9,7.0,11.0,192.6,89.0,43.0,313.0,84.0,89.0,7.6,5.8,5.9,-92.67
5.0,San Francisco 49ers,17.0,338.0,516.0,65.5,3278.0,25.0,4.8,11.0,72.0,2.1,6.7,6.7,10.3,192.8,92.0,37.0,198.0,80.0,67.0,6.7,5.9,5.9,-56.36
6.0,Houston Texans,17.0,326.0,554.0,58.8,3417.0,31.0,5.6,19.0,90.0,3.4,6.8,6.4,11.5,201.0,83.7,49.0,336.0,98.0,106.0,8.1,5.7,5.3,-5.15
7.0,Los Angeles Chargers,17.0,367.0,565.0,65.0,3517.0,24.0,4.2,15.0,87.0,2.7,6.7,6.3,10.3,206.9,87.1,46.0,245.0,98.0,78.0,7.5,5.8,5.4,-18.84
8.0,New York Giants,17.0,349.0,503.0,69.4,3580.0,23.0,4.6,5.0,60.0,1.0,7.7,8.2,11.1,210.6,103.1,45.0,289.0,94.0,96.0,8.2,6.5,7.0,-98.19
9.0,Miami Dolphins,17.0,365.0,572.0,63.8,3582.0,22.0,3.8,10.0,69.0,1.7,6.7,6.7,10.5,210.7,88.7,35.0,247.0,81.0,83.0,5.8,5.9,5.9,-36.64
10.0,New England Patriots,17.0,346.0,533.0,64.9,3596.0,27.0,5.1,7.0,73.0,1.3,7.0,7.5,10.8,211.5,96.9,28.0,153.0,66.0,62.0,5.0,6.4,6.8,-119.58
11.0,Seattle Seahawks,17.0,371.0,569.0,65.2,3603.0,26.0,4.6,13.0,74.0,2.3,6.9,6.8,10.6,211.9,90.9,45.0,327.0,112.0,74.0,7.3,5.9,5.8,-36.64
12.0,Cleveland Browns,17.0,316.0,511.0,61.8,3611.0,26.0,5.1,4.0,60.0,0.8,7.6,8.3,12.3,212.4,98.9,41.0,267.0,108.0,112.0,7.4,6.5,7.2,-80.69
13.0,Green Bay Packers,17.0,381.0,565.0,67.4,3658.0,23.0,4.1,17.0,56.0,3.0,7.0,6.5,10.4,215.2,88.5,45.0,301.0,91.0,95.0,7.4,6.0,5.5,-22.66
14.0,Arizona Cardinals,17.0,370.0,539.0,68.6,3674.0,20.0,3.7,9.0,63.0,1.7,7.3,7.3,10.6,216.1,95.1,41.0,256.0,76.0,87.0,7.1,6.3,6.3,-85.53
15.0,Las Vegas Raiders,17.0,370.0,561.0,66.0,3676.0,29.0,5.2,10.0,81.0,1.8,7.1,7.3,10.8,216.2,96.5,38.0,313.0,86.0,83.0,6.3,6.1,6.4,-91.34
16.0,Chicago Bears,17.0,325.0,503.0,64.6,3705.0,17.0,3.4,11.0,66.0,2.2,7.9,7.6,12.2,217.9,90.9,40.0,254.0,100.0,81.0,7.4,6.8,6.5,-39.42
17.0,Dallas Cowboys,17.0,349.0,512.0,68.2,3708.0,28.0,5.5,13.0,70.0,2.5,7.9,7.9,11.6,218.1,99.5,52.0,337.0,105.0,70.0,9.2,6.6,6.5,-63.96
18.0,Kansas City Chiefs,17.0,375.0,569.0,65.9,3720.0,24.0,4.2,13.0,71.0,2.3,7.0,6.8,10.6,218.8,90.6,39.0,250.0,112.0,87.0,6.4,6.1,5.9,-95.23
19.0,Denver Broncos,17.0,393.0,606.0,64.9,3752.0,22.0,3.6,15.0,68.0,2.5,6.8,6.4,10.5,220.7,86.2,63.0,360.0,142.0,94.0,9.4,5.6,5.3,-16.14
20.0,Los Angeles Rams,17.0,354.0,542.0,65.3,3793.0,29.0,5.4,13.0,73.0,2.4,7.6,7.6,11.6,223.1,95.9,38.0,308.0,72.0,72.0,6.6,6.5,6.5,-60.58
21.0,Cincinnati Bengals,17.0,372.0,573.0,64.9,3799.0,30.0,5.2,15.0,79.0,2.6,7.0,6.9,10.8,223.5,91.9,36.0,217.0,105.0,72.0,5.9,6.2,6.1,-78.94
22.0,Atlanta Falcons,17.0,404.0,578.0,69.9,3817.0,34.0,5.9,12.0,66.0,2.1,6.9,7.2,9.9,224.5,100.2,31.0,187.0,74.0,79.0,5.1,6.3,6.5,-76.07
23.0,Carolina Panthers,17.0,360.0,530.0,67.9,3820.0,35.0,6.6,9.0,68.0,1.7,7.6,8.2,11.2,224.7,105.4,32.0,223.0,64.0,65.0,5.7,6.8,7.3,-143.21
24.0,Buffalo Bills,17.0,396.0,578.0,68.5,3843.0,28.0,4.8,16.0,60.0,2.8,7.1,6.8,10.4,226.1,93.3,39.0,257.0,94.0,93.0,6.3,6.2,6.0,-116.31
25.0,Pittsburgh Steelers,17.0,382.0,582.0,65.6,3876.0,23.0,4.0,17.0,77.0,2.9,7.1,6.6,10.9,228.0,87.5,40.0,275.0,105.0,83.0,6.4,6.2,5.7,-55.5
26.0,Indianapolis Colts,17.0,378.0,545.0,69.4,3899.0,27.0,5.0,16.0,57.0,2.9,7.6,7.3,11.0,229.4,95.8,36.0,243.0,83.0,88.0,6.2,6.7,6.4,-101.05
27.0,New Orleans Saints,17.0,366.0,591.0,61.9,4055.0,19.0,3.2,14.0,93.0,2.4,7.3,6.8,11.7,238.5,84.8,39.0,240.0,84.0,77.0,6.2,6.4,6.0,-60.31
28.0,Minnesota Vikings,17.0,415.0,637.0,65.1,4114.0,24.0,3.8,24.0,95.0,3.8,7.0,6.1,10.7,242.0,82.4,49.0,345.0,113.0,96.0,7.1,6.0,5.1,-26.89
29.0,Tampa Bay Buccaneers,17.0,418.0,630.0,66.3,4147.0,27.0,4.3,7.0,62.0,1.1,7.1,7.4,10.7,243.9,96.6,46.0,317.0,114.0,81.0,6.8,6.1,6.5,-115.82
30.0,Detroit Lions,17.0,373.0,610.0,61.1,4148.0,18.0,3.0,16.0,81.0,2.6,7.2,6.6,11.8,244.0,82.0,37.0,256.0,110.0,70.0,5.7,6.4,5.9,-55.0
