Rk,Player,Age,Team,Pos,G,GS,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions Lng,Def Interceptions PD,Fumbles FF,Fumbles Fmb,Fumbles FR,Fumbles Yds,Fumbles FRTD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Sfty,Awards,Player_URL
1,Leonard Williams,29,2TM,NT,18,17,0,0,0,0,2,0,0,0,0,0,5.5,62,37,25,10,16,0,,
1,Leonard Williams,29,NYG,NT,8,7,0,0,0,0,1,0,0,0,0,0,1.5,21,13,8,1,5,0,,
1,Leonard Williams,29,SEA,DL,10,10,0,0,0,0,1,0,0,0,0,0,4.0,41,24,17,9,11,0,,
2,Azeez Al-Shaair,26,TEN,LILB,17,17,0,0,0,0,4,0,0,1,0,0,2.0,163,84,79,9,6,0,,
3,Josh Allen,27,BUF,QB,17,17,0,0,0,0,0,0,7,1,-4,0,0.0,0,0,0,0,0,0,"AP MVP-5,AP OPoY-6",
4,Zach Allen,26,DEN,DE,17,17,0,0,0,0,1,1,0,0,0,0,5.0,60,27,33,8,24,0,,
5,David Andrews,31,NWE,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
6,Jessie Bates III,26,ATL,S,17,17,6,95,1,92,11,3,0,0,0,0,0.0,132,89,43,3,1,0,"PB,AP-2",
7,Terrel Bernard,24,BUF,LB,17,17,3,2,0,2,5,0,0,3,-1,0,6.5,143,84,59,10,9,0,,
8,Andrew Billings,28,CHI,DL,17,17,0,0,0,0,0,0,0,0,0,0,0.0,27,12,15,3,2,0,,
9,Nick Bosa,26,SFO,DL,17,17,0,0,0,0,4,2,0,1,-3,0,10.5,53,34,19,16,35,0,PB,
10,A.J. Brown,26,PHI,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",
11,Derrick Brown,25,CAR,DT,17,17,1,2,0,2,6,0,0,0,0,0,2.0,103,57,46,7,15,0,PB,
12,Orlando Brown Jr.,27,CIN,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
13,Camryn Bynum,25,MIN,S,17,17,2,0,0,0,9,3,0,0,0,0,0.5,137,94,43,2,1,0,,
14,Calais Campbell,37,ATL,DL,17,17,0,0,0,0,1,1,0,1,0,0,6.5,56,32,24,10,17,1,,
15,Derek Carr,32,NOR,QB,17,17,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,,
16,Damone Clark,23,DAL,LB,17,17,0,0,0,0,3,0,0,1,0,0,0.0,109,70,39,4,3,0,,
17,Kenny Clark,28,GNB,DL,17,17,0,0,0,0,3,2,0,0,0,0,7.5,44,22,22,9,16,0,PB,
18,Mason Cole,27,PIT,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
19,Zaven Collins,24,ARI,LB,17,17,1,1,0,1,3,0,0,1,0,0,3.5,41,27,14,6,6,0,,
20,Jonathon Cooper,25,DEN,OLB,17,17,1,4,0,4,2,1,0,2,35,1,8.5,72,44,28,8,13,0,,
21,Maxx Crosby,26,LVR,DE,17,17,0,0,0,0,2,2,0,1,0,0,14.5,90,55,35,23,31,0,"PB,AP-2,AP DPoY-4",
22,Demario Davis,34,NOR,MLB,17,17,0,0,0,0,4,1,0,1,20,0,6.5,121,74,47,12,11,0,"PB,AP-2",
23,Gabriel Davis,24,BUF,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
24,Jordan Davis,23,PHI,DT,17,17,0,0,0,0,1,1,0,0,0,0,2.5,45,18,27,2,5,0,,
