Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Unnamed: 16_level_0,PAT,PAT,FG,FG,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Brandon Aubrey,28,DAL,K,17,0,0,0,0,0,0,0,0,0,0,0,49,52,36,38,0,157,9.2,"PB,AP-1"
2,Justin Tucker,34,BAL,K,17,0,0,0,0,0,0,0,0,0,0,0,51,52,32,37,0,147,8.6,PB
3,Jason Myers,32,SEA,K,17,0,0,0,0,0,0,0,0,0,0,0,33,33,35,42,0,138,8.1,
4,Harrison Butker,28,KAN,K,17,0,0,0,0,0,0,0,0,0,0,0,38,38,33,35,0,137,8.1,
5,Cairo Santos,32,CHI,K,17,0,0,0,0,0,0,0,0,0,0,0,31,33,35,38,0,136,8.0,
6,Jake Elliott,28,PHI,K,17,0,0,0,0,0,0,0,0,0,0,0,45,46,30,32,0,135,7.9,AP-2
7,Matt Gay,29,IND,K,17,0,0,0,0,0,0,0,0,0,0,0,35,36,33,41,0,134,7.9,
8,Blake Grupe,25,NOR,K,17,0,0,0,0,0,0,0,0,0,0,0,40,40,30,37,0,130,7.6,
9,Jason Sanders,28,MIA,K,17,0,0,0,0,0,0,0,0,0,0,0,58,59,24,28,0,130,7.6,
10,Cameron Dicker,23,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,35,35,31,33,0,128,7.5,
11,Christian McCaffrey,27,SFO,RB,16,16,14,7,0,0,0,0,0,21,0,0,0,0,0,0,0,126,7.9,"PB,AP-1,AP MVP-3,AP OPoY-1"
